car_name,measurement_data_id,measurement_datetime,measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,real_time_utc,real_time_jst,real_time_jst_ms,real_time_utc_ms
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593054,37.505785,139.928607,2,0.358,0.617,9.814,2016-03-15 05:43:13.054000+00:00,2016-03-15 14:43:13.054000+09:00,2016-03-15 14:43:13.054,2016-03-15 05:43:13.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593154,37.505785,139.928607,2,0.34,0.624,9.832,2016-03-15 05:43:13.154000+00:00,2016-03-15 14:43:13.154000+09:00,2016-03-15 14:43:13.154,2016-03-15 05:43:13.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593254,37.505785,139.928607,2,0.342,0.619,9.848,2016-03-15 05:43:13.254000+00:00,2016-03-15 14:43:13.254000+09:00,2016-03-15 14:43:13.254,2016-03-15 05:43:13.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593354,37.505785,139.928607,2,0.346,0.624,9.852,2016-03-15 05:43:13.354000+00:00,2016-03-15 14:43:13.354000+09:00,2016-03-15 14:43:13.354,2016-03-15 05:43:13.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593454,37.505785,139.928607,2,0.357,0.617,9.869,2016-03-15 05:43:13.454000+00:00,2016-03-15 14:43:13.454000+09:00,2016-03-15 14:43:13.454,2016-03-15 05:43:13.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593554,37.505785,139.928607,2,0.362,0.618,9.867,2016-03-15 05:43:13.554000+00:00,2016-03-15 14:43:13.554000+09:00,2016-03-15 14:43:13.554,2016-03-15 05:43:13.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593654,37.505785,139.928607,2,0.37,0.628,9.83,2016-03-15 05:43:13.654000+00:00,2016-03-15 14:43:13.654000+09:00,2016-03-15 14:43:13.654,2016-03-15 05:43:13.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593754,37.505785,139.928607,2,0.356,0.627,9.848,2016-03-15 05:43:13.754000+00:00,2016-03-15 14:43:13.754000+09:00,2016-03-15 14:43:13.754,2016-03-15 05:43:13.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593854,37.505785,139.928607,2,0.358,0.627,9.785,2016-03-15 05:43:13.854000+00:00,2016-03-15 14:43:13.854000+09:00,2016-03-15 14:43:13.854,2016-03-15 05:43:13.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020593954,37.505785,139.928607,2,0.355,0.626,9.85,2016-03-15 05:43:13.954000+00:00,2016-03-15 14:43:13.954000+09:00,2016-03-15 14:43:13.954,2016-03-15 05:43:13.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594054,37.505785,139.928607,2,0.359,0.612,9.816,2016-03-15 05:43:14.054000+00:00,2016-03-15 14:43:14.054000+09:00,2016-03-15 14:43:14.054,2016-03-15 05:43:14.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594154,37.505785,139.928607,2,0.363,0.624,9.846,2016-03-15 05:43:14.154000+00:00,2016-03-15 14:43:14.154000+09:00,2016-03-15 14:43:14.154,2016-03-15 05:43:14.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594254,37.505785,139.928607,2,0.356,0.619,9.848,2016-03-15 05:43:14.254000+00:00,2016-03-15 14:43:14.254000+09:00,2016-03-15 14:43:14.254,2016-03-15 05:43:14.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594354,37.505785,139.928607,2,0.36,0.633,9.801,2016-03-15 05:43:14.354000+00:00,2016-03-15 14:43:14.354000+09:00,2016-03-15 14:43:14.354,2016-03-15 05:43:14.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594454,37.505785,139.928607,2,0.349,0.629,9.822,2016-03-15 05:43:14.454000+00:00,2016-03-15 14:43:14.454000+09:00,2016-03-15 14:43:14.454,2016-03-15 05:43:14.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594554,37.505785,139.928607,2,0.35,0.618,9.791,2016-03-15 05:43:14.554000+00:00,2016-03-15 14:43:14.554000+09:00,2016-03-15 14:43:14.554,2016-03-15 05:43:14.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594654,37.505785,139.928607,2,0.356,0.621,9.821,2016-03-15 05:43:14.654000+00:00,2016-03-15 14:43:14.654000+09:00,2016-03-15 14:43:14.654,2016-03-15 05:43:14.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594754,37.505785,139.928607,2,0.358,0.611,9.84,2016-03-15 05:43:14.754000+00:00,2016-03-15 14:43:14.754000+09:00,2016-03-15 14:43:14.754,2016-03-15 05:43:14.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594854,37.505785,139.928607,2,0.354,0.613,9.863,2016-03-15 05:43:14.854000+00:00,2016-03-15 14:43:14.854000+09:00,2016-03-15 14:43:14.854,2016-03-15 05:43:14.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020594954,37.505785,139.928607,2,0.358,0.626,9.837,2016-03-15 05:43:14.954000+00:00,2016-03-15 14:43:14.954000+09:00,2016-03-15 14:43:14.954,2016-03-15 05:43:14.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595054,37.505785,139.928607,2,0.35,0.624,9.866,2016-03-15 05:43:15.054000+00:00,2016-03-15 14:43:15.054000+09:00,2016-03-15 14:43:15.054,2016-03-15 05:43:15.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595154,37.505785,139.928607,2,0.35,0.619,9.813,2016-03-15 05:43:15.154000+00:00,2016-03-15 14:43:15.154000+09:00,2016-03-15 14:43:15.154,2016-03-15 05:43:15.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595254,37.505785,139.928607,2,0.352,0.609,9.842,2016-03-15 05:43:15.254000+00:00,2016-03-15 14:43:15.254000+09:00,2016-03-15 14:43:15.254,2016-03-15 05:43:15.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595354,37.505785,139.928607,2,0.355,0.609,9.819,2016-03-15 05:43:15.354000+00:00,2016-03-15 14:43:15.354000+09:00,2016-03-15 14:43:15.354,2016-03-15 05:43:15.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595454,37.505785,139.928607,2,0.371,0.625,9.829,2016-03-15 05:43:15.454000+00:00,2016-03-15 14:43:15.454000+09:00,2016-03-15 14:43:15.454,2016-03-15 05:43:15.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595554,37.505785,139.928607,2,0.368,0.62,9.846,2016-03-15 05:43:15.554000+00:00,2016-03-15 14:43:15.554000+09:00,2016-03-15 14:43:15.554,2016-03-15 05:43:15.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595654,37.505785,139.928607,2,0.355,0.623,9.833,2016-03-15 05:43:15.654000+00:00,2016-03-15 14:43:15.654000+09:00,2016-03-15 14:43:15.654,2016-03-15 05:43:15.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595754,37.505785,139.928607,2,0.345,0.615,9.85,2016-03-15 05:43:15.754000+00:00,2016-03-15 14:43:15.754000+09:00,2016-03-15 14:43:15.754,2016-03-15 05:43:15.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595854,37.505785,139.928607,2,0.351,0.608,9.81,2016-03-15 05:43:15.854000+00:00,2016-03-15 14:43:15.854000+09:00,2016-03-15 14:43:15.854,2016-03-15 05:43:15.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020595954,37.505785,139.928607,2,0.358,0.613,9.822,2016-03-15 05:43:15.954000+00:00,2016-03-15 14:43:15.954000+09:00,2016-03-15 14:43:15.954,2016-03-15 05:43:15.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596054,37.505785,139.928607,2,0.36,0.601,9.834,2016-03-15 05:43:16.054000+00:00,2016-03-15 14:43:16.054000+09:00,2016-03-15 14:43:16.054,2016-03-15 05:43:16.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596154,37.505785,139.928607,2,0.356,0.61,9.839,2016-03-15 05:43:16.154000+00:00,2016-03-15 14:43:16.154000+09:00,2016-03-15 14:43:16.154,2016-03-15 05:43:16.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596254,37.505785,139.928607,2,0.353,0.616,9.848,2016-03-15 05:43:16.254000+00:00,2016-03-15 14:43:16.254000+09:00,2016-03-15 14:43:16.254,2016-03-15 05:43:16.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596354,37.505785,139.928607,2,0.346,0.611,9.856,2016-03-15 05:43:16.354000+00:00,2016-03-15 14:43:16.354000+09:00,2016-03-15 14:43:16.354,2016-03-15 05:43:16.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596454,37.505785,139.928607,2,0.345,0.618,9.848,2016-03-15 05:43:16.454000+00:00,2016-03-15 14:43:16.454000+09:00,2016-03-15 14:43:16.454,2016-03-15 05:43:16.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596554,37.505785,139.928607,2,0.349,0.616,9.877,2016-03-15 05:43:16.554000+00:00,2016-03-15 14:43:16.554000+09:00,2016-03-15 14:43:16.554,2016-03-15 05:43:16.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596654,37.505785,139.928607,2,0.36,0.622,9.859,2016-03-15 05:43:16.654000+00:00,2016-03-15 14:43:16.654000+09:00,2016-03-15 14:43:16.654,2016-03-15 05:43:16.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596754,37.505785,139.928607,2,0.366,0.63,9.874,2016-03-15 05:43:16.754000+00:00,2016-03-15 14:43:16.754000+09:00,2016-03-15 14:43:16.754,2016-03-15 05:43:16.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596854,37.505785,139.928607,2,0.355,0.623,9.868,2016-03-15 05:43:16.854000+00:00,2016-03-15 14:43:16.854000+09:00,2016-03-15 14:43:16.854,2016-03-15 05:43:16.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020596954,37.505785,139.928607,2,0.349,0.627,9.854,2016-03-15 05:43:16.954000+00:00,2016-03-15 14:43:16.954000+09:00,2016-03-15 14:43:16.954,2016-03-15 05:43:16.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597054,37.505785,139.928607,2,0.337,0.617,9.889,2016-03-15 05:43:17.054000+00:00,2016-03-15 14:43:17.054000+09:00,2016-03-15 14:43:17.054,2016-03-15 05:43:17.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020597154,37.505785,139.928607,2,0.355,0.616,9.805,2016-03-15 05:43:17.154000+00:00,2016-03-15 14:43:17.154000+09:00,2016-03-15 14:43:17.154,2016-03-15 05:43:17.154
