u,v,key,length_m,accident_count
260501072,935016968,0,9.886,0
260501072,935016901,0,43.370999999999995,0
260501072,941284811,0,163.418,0
935016968,260501072,0,9.886,0
935016968,953406863,0,107.471,0
935016968,11510028394,0,26.232,0
935016901,924682993,0,67.711,0
941284811,3779301876,0,50.297,0
941284811,941284802,0,82.402,0
260501094,429840245,0,30.399,0
260501094,429836220,0,41.884,0
429840245,3734043363,0,45.135000000000005,0
429840245,260501094,0,30.399,0
429840245,3734043367,0,31.412999999999997,0
429836220,429836218,0,3.768,0
429836220,429836242,0,311.539,0
260501167,917879742,0,11.256,0
260501167,1839220877,0,63.891,0
260501167,441422224,0,153.403,0
917879742,260501167,0,11.256,0
917879742,1781752991,0,83.509,0
917879742,1839220882,0,62.396,0
1839220877,884432168,0,78.998,0
1839220877,1839220876,0,56.869,0
441422224,502878417,0,88.74700000000001,0
260501221,1782376311,0,9.588,0
260501221,1996511752,0,44.537000000000006,0
1782376311,2006082723,0,49.795,0
1782376311,917879741,0,80.905,0
1996511752,1996511758,0,68.492,0
1996511752,1996511743,0,49.187,0
260501253,6362709883,0,47.279,0
260501253,12277616086,0,14.748,0
260501253,1583516073,0,34.303,0
6362709883,2706646067,0,76.918,0
6362709883,6362709985,0,70.235,0
12277616086,1754960766,0,7.021,0
12277616086,12277616088,0,200.559,0
1583516073,2706646064,0,65.42,0
1583516073,1583516146,0,74.67099999999999,0
260501261,1754960789,0,11.566,0
260501261,1583516201,0,56.616,0
260501261,1583516074,0,121.606,0
1754960789,260501261,0,11.566,0
1754960789,1583516031,0,58.495000000000005,0
1754960789,1754960771,0,142.48,0
1583516201,1583516223,0,37.642,0
1583516201,1583516239,0,119.958,0
1583516201,260501261,0,56.616,0
1583516074,1754960788,0,10.302,0
1583516074,2706879695,0,10.136,0
260501276,1583516239,0,55.411,0
260501276,260501261,0,137.578,0
1583516239,1583516299,0,49.455,0
1583516239,1583516273,0,130.767,0
260501293,1754960819,0,9.862,0
260501293,6513189611,0,39.479,0
260501293,1583516394,0,67.785,0
1754960819,260501293,0,9.862,0
1754960819,6360861205,0,52.516,0
1754960819,1754960785,0,100.906,0
6513189611,835391244,0,62.683,0
6513189611,6513189609,0,111.612,0
1583516394,6513189606,0,23.777,0
1583516394,11827069330,0,106.078,0
1583516394,260501293,0,67.785,0
260501385,2211335010,0,10.252,0
260501385,10772907087,0,136.923,0
2211335010,260501385,0,10.252,0
2211335010,1583516709,0,66.989,0
2211335010,2211335020,0,126.13300000000001,0
10772907087,1583516803,0,7.523,0
260501426,2211334824,0,20.201,0
260501426,834021704,0,97.76,0
260501426,4465656762,0,58.272999999999996,0
2211334824,260501426,0,20.201,0
2211334824,2211334813,0,118.714,0
834021704,2211334867,0,12.392,0
834021704,2078635257,0,66.093,0
834021704,2078635231,0,109.143,0
4465656762,2078635257,0,116.44,0
4465656762,2078635239,0,34.262,0
4465656762,260501426,0,58.272999999999996,0
260501494,836228916,0,115.37100000000001,0
260501494,839759932,0,15.799999999999999,0
836228916,1787551765,0,56.197,0
836228916,1788537178,0,71.495,0
836228916,4793657284,0,13.465,1
836228916,260501494,0,115.371,0
839759932,841783559,0,98.512,3
839759932,4793657285,0,58.372,0
260501500,2211334716,0,10.28,2
260501500,6031495705,0,67.229,2
260501500,1788537146,0,68.969,3
2211334716,260501500,0,10.28,1
2211334716,2157258670,0,55.085,5
2211334716,2211334714,0,115.65100000000001,6
6031495705,2157258767,0,27.327,0
6031495705,260501500,0,67.229,3
6031495705,6031495704,0,60.473,0
1788537146,841821531,0,57.217,2
1788537146,1788537294,0,50.563,1
260501517,2157258644,0,87.522,5
260501517,800662020,0,115.078,4
2157258644,260501517,0,87.522,4
2157258644,2157258679,0,139.93599999999998,0
2157258644,6112137295,0,123.576,1
2157258644,836228926,0,83.063,1
800662020,2211334709,0,10.855,0
800662020,2157258624,0,53.476,2
260501528,2211334694,0,9.153,0
260501528,830213759,0,136.051,22
2211334694,260501528,0,9.153,0
2211334694,2211334689,0,46.012,1
2211334694,1109265070,0,94.627,3
830213759,2211334696,0,13.957,1
830213759,830213562,0,166.186,0
830213759,830213533,0,37.896,7
260501568,2211334584,0,12.487,1
260501568,835391269,0,140.024,4
260501568,835391308,0,89.31199999999998,4
2211334584,260501568,0,12.487,0
2211334584,2211334580,0,16.336,2
2211334584,865013288,0,42.727000000000004,1
835391269,1109411854,0,35.138,1
835391269,1109097328,0,52.504,1
835391308,835391302,0,8.552,0
835391308,1109097311,0,27.354,0
835391308,260501568,0,89.31199999999998,3
260501594,1110279734,0,40.793,1
260501594,1110279746,0,63.751000000000005,0
1110279734,1109193585,0,66.731,5
1110279734,1110279732,0,64.707,2
1110279746,4465663611,0,57.379,1
1110279746,1110279732,0,41.456,0
1110279746,260501594,0,63.751000000000005,0
260501606,6497758083,0,45.967,2
260501606,835391286,0,114.963,0
6497758083,260501606,0,45.967,2
6497758083,1485762424,0,38.812,0
6497758083,9764594359,0,74.623,0
835391286,6497758127,0,146.053,1
835391286,1109411405,0,113.64399999999999,2
260501620,1733815599,0,47.525,2
260501620,2211334370,0,10.493,0
260501620,6497350884,0,108.244,3
1733815599,836215066,0,52.934,0
1733815599,260501620,0,47.525,2
1733815599,1733815548,0,99.98,0
2211334370,1733815470,0,70.225,3
2211334370,260501620,0,10.493,0
2211334370,2211334366,0,101.443,2
6497350884,638970505,0,11.11,3
6497350884,6497351691,0,41.543,10
260501634,1258070202,0,108.004,3
260501634,5689380925,0,140.995,1
1258070202,2211334322,0,14.962,2
1258070202,1258070149,0,103.281,6
1258070202,5689380925,0,33.347,0
5689380925,1733815358,0,37.907,2
5689380925,1258070202,0,33.347,1
5689380925,260501634,0,140.995,2
260501668,1437375863,0,27.677,0
260501668,837420851,0,45.989000000000004,0
1437375863,1442876300,0,33.313,0
1437375863,1442876284,0,48.522,0
837420851,2211334269,0,14.509,1
837420851,1442876300,0,20.741,0
837420851,2211334292,0,118.72800000000001,6
260501674,2211334160,0,14.405,2
260501674,1733815085,0,44.116,0
2211334160,260501674,0,14.405,2
2211334160,1442876190,0,83.214,1
2211334160,1442876253,0,41.417,1
1733815085,1442876258,0,17.843,1
1733815085,1442876253,0,33.777,0
1733815085,260501668,0,58.522999999999996,6
260501690,1087756346,0,109.032,3
260501690,6502035026,0,10.896,0
1087756346,2211334074,0,13.356,0
1087756346,1087756373,0,47.907,1
6502035026,1258070324,0,53.751999999999995,3
6502035026,6502035028,0,36.985,0
260501707,1733814829,0,9.739,0
260501707,1087756356,0,820.9770000000001,27
1733814829,1733814870,0,94.307,1
1733814829,6502035146,0,22.698999999999998,0
1087756356,1087756367,0,16.13,1
1087756356,7922127551,0,60.353,10
1087756356,1258070431,0,65.765,1
260501715,6502035167,0,68.258,5
260501715,6482030312,0,22.628,2
260501715,1442895147,0,93.718,6
6502035167,1733814809,0,39.731,2
6502035167,6502035165,0,76.363,0
6482030312,1259280308,0,14.871,1
6482030312,5424130947,0,67.338,3
1442895147,1442895150,0,102.784,1
1442895147,260501715,0,93.718,3
1442895147,837420779,0,46.275999999999996,0
260501743,841783561,0,163.498,13
260501743,1437165453,0,157.37099999999998,5
841783561,6502035072,0,51.514,0
841783561,1259280338,0,23.765,1
841783561,1437165456,0,90.711,2
1437165453,1437165456,0,31.963,0
288188161,1516402617,0,608.6220000000001,0
288188161,6274189215,0,229.31099999999998,0
1516402617,1516402618,0,13.752,0
1516402617,2005884224,0,125.329,0
1516402617,4077078418,0,68.227,0
6274189215,6274189214,0,30.49,0
6274189215,6274189199,0,30.967999999999996,0
288188188,4291791639,0,24.076,0
288188188,12980129363,0,12.326,0
4291791639,4291762411,0,130.979,0
4291791639,2005879853,0,74.286,0
12980129363,288188188,0,12.326,0
12980129363,5597387638,0,70.679,0
12980129363,4291791639,0,30.564,0
288188201,325609439,0,56.933,0
325609439,1257627044,0,73.585,0
288188210,6365402679,0,26.093,0
288188210,1516402703,0,20.403,0
288188210,1257447426,0,41.33,0
6365402679,6365402680,0,49.275,0
6365402679,849572353,0,1025.57,0
1516402703,288188210,0,20.403,0
1516402703,4681364668,0,124.816,0
1516402703,1257644784,0,37.398,0
1257447426,4681364671,0,98.35499999999999,0
1257447426,7768873837,0,63.011,0
1257447426,288188210,0,41.33,0
288188223,370376214,0,45.684,0
288188223,849572420,0,195.84500000000003,0
370376214,12277648940,0,13.538,0
370376214,4781070205,0,109.70499999999998,0
849572420,1257826013,0,36.433,0
849572420,1583514654,0,127.44800000000001,0
849572420,1583514621,0,90.22300000000001,0
288188228,837819612,0,371.822,0
288188228,1087674748,0,370.24399999999997,0
837819612,5228356959,0,38.033,0
837819612,1087674771,0,29.84,0
837819612,1087674709,0,209.92,0
1087674748,1087674772,0,16.779,0
291491787,1161629043,0,9.762,0
291491787,291491874,0,197.056,7
291491787,3301139286,0,156.946,13
1161629043,291491787,0,9.762,0
1161629043,1161629071,0,107.74600000000001,3
291491874,380068020,0,294.381,3
291491874,292777000,0,344.4359999999999,6
291491874,2579028750,0,81.21799999999999,2
3301139286,3302046422,0,9.485,4
3301139286,291491787,0,156.946,15
3301139286,2955384405,0,218.158,10
291491791,8399000394,0,67.984,5
8399000394,291491874,0,8.601,0
8399000394,1161629043,0,202.34699999999998,2
291491803,6590571136,0,22.69,2
291491803,6590571145,0,114.966,3
6590571136,6590571137,0,19.46,0
6590571136,2543268928,0,227.732,8
6590571145,1624773783,0,97.005,5
6590571145,6590571136,0,112.77799999999999,1
291491809,2543268921,0,473.931,2
291491809,6984817882,0,132.904,3
2543268921,6984820196,0,82.412,1
2543268921,2543268932,0,810.163,6
6984817882,291491803,0,385.776,6
291491820,291491809,0,530.441,9
291491855,291492011,0,28.151,0
291491855,1477877784,0,414.423,0
291491855,2546388248,0,127.04199999999999,0
291492011,1437167408,0,190.444,1
291492011,1477877772,0,31.595,0
1477877784,2541249436,0,1123.4940000000001,15
2546388248,1437167392,0,270.733,0
2546388248,2546388274,0,325.451,0
291491872,8399000394,0,101.44300000000001,6
291491872,1624773783,0,262.317,3
291491872,1161629071,0,231.924,5
1624773783,291491872,0,262.317,4
1624773783,6590571145,0,97.005,2
1624773783,2543268928,0,132.78000000000003,7
1624773783,1928559853,0,103.487,4
1161629071,1161629043,0,107.746,3
1161629071,1161629071,0,194.42600000000004,0
1161629071,1161629071,1,194.42600000000004,0
1161629071,291491872,0,231.924,6
380068020,2580565798,0,2788.1730000000007,135
292777000,292776989,0,847.362,29
2579028750,291491791,0,13.039,1
2579028750,1624773782,0,26.415,5
291491964,1783200513,0,134.176,11
