警察署,番号,事故内容,死者数,負傷者数,路線コード,市区町コード,市区町,発生年月日,発生時間,昼夜間_夜,曜日,天候,路面状態,道路形状,信号機,道路線形,事故類型,年齢(当事者1),年齢(当事者2),当事者種別(当事者1),当事者種別(当事者2),中央分離施設,緯度（北緯）,経度（東経）
神戸北,392,負傷,0,1,一般市道,109,神戸市北区,20160504,21,夜間_夜,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,55～64歳以下,25～34歳以下,二輪車(軽二輪),貨物車(軽自動車),中央線(ペイント),34.7315625,135.1400531
東灘,11,負傷,0,1,一般市道,101,神戸市東灘区,20160727,11,昼間_昼,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,0～24歳以下,45～54歳以下,貨物車(普通車),乗用車(軽自動車),中央分離なし,34.70971528,135.2511667
生田,45,負傷,0,1,一般市道,110,神戸市中央区,20160818,12,昼間_昼,木,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,45～54歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.68354472,135.1792908
神戸西,191,負傷,0,1,一般市道,111,神戸市西区,20161019,8,昼間_昼,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,不明・単独事故,25～34歳以下,対象外当事者,軽車両(自転車),中央分離なし,34.72163694,135.0171825
東灘,20,負傷,0,1,山手幹線（神戸市）,101,神戸市東灘区,20161020,18,夜間_暮,木,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,不明・単独事故,35～44歳以下,対象外当事者,乗用車(普通車),中央分離帯,34.72712306,135.2753967
葺合,147,負傷,0,2,一般市道,110,神戸市中央区,20161101,22,夜間_夜,火,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,0～24歳以下,0～24歳以下,乗用車(普通車),乗用車(軽自動車),中央分離なし,34.69668389,135.2011131
葺合,148,負傷,0,1,２号,110,神戸市中央区,20161101,22,夜間_夜,火,晴,乾燥,交差点(その他),施設なし,直線(平坦),人対車両,0～24歳以下,0～24歳以下,乗用車(軽自動車),歩行者,中央分離なし,34.69852389,135.2064439
神戸西,18,負傷,0,1,一般市道,111,神戸市西区,20161111,0,夜間_夜,金,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両単独,55～64歳以下,不明・単独事故,乗用車(普通車),相手なし,中央分離なし,34.70609972,135.0405983
神戸西,76,負傷,0,1,小部明石線,111,神戸市西区,20161111,11,昼間_昼,金,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,0～24歳以下,乗用車(普通車),軽車両(自転車),中央線(ペイント),34.6672025,134.9923528
灘,5,負傷,0,1,一般市道,102,神戸市灘区,20161113,17,夜間_暮,日,晴,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(右・下り),車両単独,0～24歳以下,不明・単独事故,二輪車(401cc以上),相手なし,中央線(ペイント),34.73953556,135.2025011
