measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,speed
1424236086126,37.504508,139.934883,13,0.204,0.186,9.467,9.266
1424236086227,37.504501,139.934891,16,0.077,-0.025,9.493,9.285
1424236086323,37.504493,139.934899,16,0.013,-0.122,9.539,9.377
1424236086424,37.504484,139.934908,16,-0.005,-0.128,9.552,9.475
1424236086524,37.504476,139.934916,16,-0.011,-0.18,9.473,9.573
1424236086625,37.504467,139.934925,16,0.023,-0.251,9.481,9.672
1424236086726,37.504458,139.934934,16,-0.045,-0.207,9.434,9.773
1424236086826,37.50445,139.934942,16,-0.049,-0.193,9.444,9.874
1424236086927,37.504441,139.934951,16,-0.054,-0.231,9.544,9.977
1424236087023,37.504432,139.93496,16,-0.135,-0.127,9.39,10.076
1424236087123,37.504423,139.934969,16,-0.105,-0.103,9.187,10.18
1424236087224,37.504415,139.934978,16,-0.088,-0.52,9.828,10.154
1424236087325,37.504411,139.934987,16,-0.098,-0.423,9.568,9.872
1424236087426,37.504406,139.934996,16,0.05,-0.483,9.278,9.597
1424236087526,37.504402,139.935005,16,-0.076,-0.554,9.282,9.333
1424236087627,37.504398,139.935013,16,0.024,-0.623,9.821,9.072
1424236087723,37.504394,139.935021,16,0.31,-0.665,9.397,8.831
1424236087823,37.50439,139.935029,16,0.298,-0.627,9.176,8.587
1424236087924,37.504386,139.935037,16,0.171,-0.703,9.479,8.347
1424236088025,37.504382,139.935044,16,0.106,-0.564,9.426,8.115
1424236088126,37.504378,139.935051,16,0.109,-0.499,9.682,7.889
1424236088226,37.504374,139.935059,16,0.031,-0.489,9.328,7.722
1424236088327,37.504369,139.935066,16,-0.021,-0.609,9.456,7.643
1424236088423,37.504365,139.935073,16,-0.128,-0.524,9.527,7.568
1424236088523,37.50436,139.93508,16,-0.168,-0.455,9.377,7.492
1424236088624,37.504355,139.935087,16,-0.096,-0.456,9.573,7.415
