measurement_ms	latitude	longitude	gps_error_meter	accel_x_transverse	accel_y_longitudinal	accel_z_vertical	speed
1423726402520	37.499938	139.928147	10	0.034	0.102	9.481	7.162
1423726402620	37.499930	139.928144	10	0.089	0.121	9.472	7.111
1423726402721	37.499922	139.928141	10	0.027	0.089	9.539	7.060
1423726402817	37.499915	139.928138	10	0.038	0.131	9.373	7.012
1423726402917	37.499907	139.928135	10	0.057	0.189	9.421	6.962
1423726403018	37.499900	139.928132	10	0.108	0.179	9.417	6.912
1423726403119	37.499892	139.928130	10	0.183	0.130	9.473	6.862
1423726403220	37.499885	139.928127	10	0.179	0.039	9.524	6.813
1423726403320	37.499877	139.928124	10	0.176	-0.045	9.339	6.764
1423726403421	37.499871	139.928123	10	0.188	0.012	9.387	6.732
1423726403517	37.499864	139.928123	10	0.145	0.041	9.573	6.708
1423726403617	37.499858	139.928123	10	0.206	0.038	9.577	6.682
1423726403718	37.499852	139.928123	10	0.342	-0.006	9.795	6.657
1423726403819	37.499846	139.928123	10	0.192	-0.011	9.532	6.632
1423726403919	37.499839	139.928123	10	0.102	0.206	9.309	6.607
1423726404020	37.499833	139.928123	10	0.238	0.011	9.564	6.581
1423726404121	37.499827	139.928123	10	0.233	0.104	9.681	6.556
1423726404217	37.499821	139.928123	10	-0.013	0.048	9.615	6.533
1423726404317	37.499815	139.928123	10	0.135	0.148	9.524	6.508
1423726404418	37.499808	139.928122	10	-0.117	-0.004	9.484	6.533
1423726404519	37.499801	139.928121	10	-0.216	0.144	9.526	6.582
1423726404619	37.499794	139.928119	10	-0.152	0.184	9.527	6.631
1423726404720	37.499787	139.928118	10	-0.107	0.166	9.404	6.681
1423726404821	37.499780	139.928116	10	-0.311	0.185	9.351	6.731
1423726404922	37.499772	139.928115	10	-0.283	0.166	9.453	6.781
1423726405017	37.499766	139.928113	10	-0.278	0.170	9.433	6.829
1423726405118	37.499758	139.928112	10	-0.298	0.172	9.570	6.881
1423726405219	37.499751	139.928110	10	-0.076	0.059	9.686	6.932
1423726405319	37.499743	139.928108	10	0.215	0.017	9.415	6.984
1423726405420	37.499736	139.928106	10	-0.058	0.227	8.804	7.000
1423726405521	37.499730	139.928104	10	-0.087	0.321	9.171	7.000
1423726405621	37.499723	139.928101	10	-0.047	0.063	9.889	7.000
1423726405717	37.499717	139.928099	10	-0.024	0.027	10.156	7.000
1423726405818	37.499710	139.928096	10	0.098	-0.015	9.576	7.000
1423726405919	37.499703	139.928094	10	0.021	0.089	9.190	7.000
1423726406019	37.499697	139.928091	10	-0.075	0.127	9.084	7.000
1423726406120	37.499690	139.928089	10	0.035	0.318	9.495	7.000
1423726406221	37.499684	139.928086	10	0.042	0.201	9.872	7.000
1423726406321	37.499677	139.928084	10	0.050	0.183	9.680	7.000
1423726406417	37.499670	139.928081	9	-0.059	0.034	9.419	7.000
1423726406518	37.499663	139.928079	9	-0.160	-0.075	9.353	7.000
1423726406618	37.499656	139.928077	9	-0.029	-0.157	9.611	7.000
1423726406719	37.499648	139.928074	9	0.080	-0.283	9.562	7.000
1423726406820	37.499641	139.928072	9	0.084	-0.607	9.456	7.000
1423726406921	37.499634	139.928069	9	0.080	-0.678	9.411	7.000
1423726407021	37.499627	139.928067	9	0.133	-0.689	9.553	7.000
1423726407117	37.499620	139.928065	9	0.055	-0.663	9.475	7.000
1423726407218	37.499612	139.928062	9	0.140	-0.633	9.254	7.000
1423726407318	37.499605	139.928060	9	0.234	-0.671	9.263	7.000
1423726407419	37.499599	139.928058	9	0.130	-0.692	9.462	6.946
1423726407520	37.499594	139.928058	9	0.029	-0.753	9.539	6.867
1423726407621	37.499588	139.928057	9	0.032	-0.729	9.330	6.788
1423726407722	37.499583	139.928056	9	0.018	-0.607	9.181	6.711
1423726407817	37.499578	139.928056	9	-0.047	-0.550	9.316	6.639
1423726407918	37.499573	139.928055	9	0.113	-0.752	9.673	6.564
1423726408018	37.499568	139.928054	9	0.166	-0.759	9.301	6.490
1423726408119	37.499562	139.928054	9	0.019	-0.625	9.200	6.416
1423726408220	37.499557	139.928053	9	0.107	-0.809	9.715	6.343
1423726408320	37.499552	139.928052	9	0.107	-0.931	9.872	6.271
1423726408421	37.499548	139.928051	9	-0.014	-0.893	9.570	6.213
1423726408517	37.499543	139.928049	9	-0.027	-0.601	9.241	6.164
1423726408617	37.499539	139.928047	9	-0.013	-0.553	9.334	6.112
1423726408718	37.499534	139.928046	9	-0.026	-0.774	9.471	6.061
1423726408819	37.499529	139.928044	9	-0.215	-0.667	9.604	6.010
1423726408920	37.499525	139.928042	9	-0.256	-0.618	9.535	5.960
1423726409020	37.499520	139.928040	9	-0.390	-0.584	9.497	5.910
1423726409121	37.499516	139.928039	9	-0.425	-0.633	9.312	5.861
1423726409217	37.499512	139.928037	9	-0.327	-0.785	9.564	5.814
1423726409317	37.499507	139.928036	9	-0.272	-0.754	9.733	5.766
1423726409418	37.499503	139.928034	9	-0.348	-0.656	9.537	5.715
1423726409519	37.499499	139.928032	9	-0.282	-0.705	9.329	5.662
1423726409620	37.499495	139.928031	9	-0.167	-0.636	9.194	5.611
1423726409720	37.499490	139.928029	9	-0.197	-0.743	9.523	5.560
1423726409821	37.499486	139.928027	9	-0.252	-0.721	9.536	5.509
1423726409917	37.499482	139.928026	9	-0.195	-0.686	9.169	5.461
1423726410017	37.499478	139.928024	9	-0.055	-0.706	9.070	5.411
1423726410118	37.499474	139.928023	9	-0.080	-0.862	9.334	5.362
1423726410219	37.499470	139.928021	9	-0.308	-1.068	9.698	5.313
1423726410319	37.499466	139.928019	9	-0.600	-1.088	9.563	5.265
1423726410420	37.499462	139.928017	9	-1.037	-0.869	9.326	5.173
1423726410521	37.499458	139.928013	9	-1.250	-0.907	9.400	5.064
1423726410617	37.499454	139.928010	9	-1.527	-0.990	9.580	4.962
1423726410717	37.499449	139.928006	9	-1.659	-1.206	9.758	4.859
1423726410818	37.499445	139.928003	9	-1.748	-1.083	9.413	4.756
1423726410919	37.499441	139.928000	9	-1.771	-0.946	9.293	4.655
1423726411019	37.499437	139.927997	9	-1.881	-0.873	9.501	4.558
1423726411120	37.499433	139.927994	9	-1.864	-1.011	9.603	4.461
1423726411221	37.499430	139.927991	9	-1.887	-1.167	9.615	4.367
1423726411322	37.499426	139.927988	9	-2.010	-0.983	9.417	4.275
1423726411422	37.499423	139.927987	9	-1.982	-0.788	9.058	4.231
1423726411518	37.499420	139.927986	9	-1.950	-0.815	9.202	4.207
1423726411617	37.499417	139.927986	9	-1.924	-0.965	9.329	4.182
1423726411719	37.499414	139.927986	9	-1.926	-1.147	9.502	4.156
1423726411818	37.499411	139.927985	9	-1.839	-1.044	9.417	4.131
1423726411921	37.499408	139.927985	9	-1.886	-1.027	9.372	4.105
1423726412020	37.499405	139.927984	9	-1.984	-1.082	9.526	4.081
1423726412117	37.499402	139.927984	9	-2.017	-1.132	9.421	4.057
1423726412218	37.499399	139.927984	9	-2.011	-1.171	9.358	4.032
1423726412318	37.499396	139.927983	9	-1.873	-1.283	9.590	4.008
1423726412419	37.499393	139.927984	7	-1.678	-1.251	9.431	3.922
1423726412520	37.499390	139.927986	7	-1.403	-0.973	9.035	3.810
1423726412621	37.499388	139.927988	7	-1.159	-0.762	8.941	3.701
1423726412721	37.499385	139.927989	7	-1.020	-0.764	9.348	3.596
1423726412817	37.499382	139.927991	7	-1.113	-0.909	9.697	3.497
1423726412918	37.499380	139.927993	7	-1.259	-0.999	9.948	3.397
1423726413018	37.499378	139.927994	7	-1.366	-1.032	9.933	3.300
1423726413119	37.499375	139.927996	7	-1.600	-0.515	9.727	3.206
1423726413220	37.499373	139.927997	7	-1.703	-0.041	9.213	3.114
1423726413321	37.499371	139.927999	7	-1.833	-0.010	8.993	3.025
1423726413421	37.499368	139.928001	7	-1.742	0.076	9.309	3.033
1423726413517	37.499365	139.928003	7	-1.663	0.066	9.637	3.078
1423726413618	37.499362	139.928006	7	-1.624	-0.121	9.490	3.126
1423726413718	37.499359	139.928008	7	-1.402	-0.154	9.436	3.175
1423726413819	37.499356	139.928011	7	-1.395	-0.022	9.411	3.225
1423726413920	37.499352	139.928013	7	-1.525	0.117	9.355	3.276
1423726414020	37.499349	139.928016	7	-1.669	-0.074	9.501	3.326
1423726414121	37.499346	139.928019	7	-1.716	-0.162	9.622	3.379
1423726414217	37.499343	139.928021	7	-1.636	-0.141	9.521	3.429
1423726414318	37.499339	139.928024	7	-1.403	-0.109	9.437	3.483
1423726414418	37.499336	139.928028	8	-1.200	-0.072	9.411	3.532
1423726414519	37.499334	139.928032	8	-0.975	-0.077	9.543	3.580
1423726414620	37.499332	139.928036	8	-0.842	-0.067	9.542	3.628
1423726414720	37.499329	139.928040	8	-0.879	-0.003	9.416	3.677
1423726414821	37.499327	139.928045	8	-0.975	-0.053	9.488	3.727
1423726414917	37.499324	139.928049	8	-1.119	-0.065	9.549	3.775
1423726415017	37.499322	139.928053	8	-1.160	0.001	9.609	3.826
1423726415118	37.499319	139.928058	8	-1.065	-0.002	9.589	3.878
1423726415219	37.499316	139.928062	8	-1.012	0.031	9.440	3.931
1423726415320	37.499314	139.928067	8	-0.924	0.023	9.405	3.984
1423726415420	37.499313	139.928072	10	-0.825	-0.116	9.390	4.000
1423726415521	37.499312	139.928078	10	-0.752	-0.476	9.424	4.000
1423726415617	37.499312	139.928083	10	-0.652	-1.035	9.452	4.000
1423726415717	37.499312	139.928089	10	-0.465	-1.062	9.695	4.000
1423726415818	37.499312	139.928094	10	-0.320	-0.782	9.638	4.000
1423726415919	37.499311	139.928100	10	-0.253	-0.496	9.338	4.000
1423726416020	37.499311	139.928106	10	-0.173	-0.382	9.302	4.000
1423726416120	37.499311	139.928111	10	-0.123	-0.428	9.472	4.000
1423726416221	37.499310	139.928117	10	-0.134	-0.444	9.541	4.000
1423726416317	37.499310	139.928122	10	-0.216	-0.352	9.479	4.000
1423726416417	37.499310	139.928128	10	-0.257	-0.349	9.510	4.000
1423726416518	37.499311	139.928133	10	-0.206	-0.370	9.545	4.000
1423726416619	37.499311	139.928139	10	-0.128	-0.355	9.456	4.000
1423726416720	37.499312	139.928145	10	0.007	-0.319	9.405	4.000
1423726416820	37.499312	139.928150	10	0.068	-0.341	9.492	4.000
1423726416921	37.499313	139.928156	10	0.133	-0.337	9.493	4.000
1423726417017	37.499313	139.928161	10	0.227	-0.287	9.382	4.000
1423726417117	37.499314	139.928167	10	0.266	-0.299	9.393	4.000
1423726417218	37.499314	139.928173	10	0.265	-0.341	9.487	4.000
1423726417319	37.499315	139.928178	10	0.228	-0.328	9.500	4.000
1423726417419	37.499314	139.928183	9	0.154	-0.371	9.412	4.000
1423726417520	37.499312	139.928186	9	0.135	-0.448	9.388	4.000
