u,v,freq
2338611968,2338611967,100.0
2338611967,2338611974,132.5
2338611319,1888017797,121.5
2607212013,2583020491,48.0
2583020491,1887754964,94.0
1887754964,1887754986,168.5
2577699840,2337987366,73.5
2337987366,1887754995,73.5
1887754995,2339942500,74.5
1887754933,1838155813,4.0
1838155808,1887754933,115.5
1838155810,1889318060,48.0
1889318060,1889318068,189.0
1889318068,1887754933,187.0
1887754894,1887754893,2.0
1887754893,1889922595,6.0
10668335614,1838147077,2.0
1838147077,1838155811,9.0
1838155811,1838155801,11.0
1836928429,1836928388,3.0
2572804088,2572803560,50.0
1889318083,1889318078,68.5
2599734467,1887754986,6.0
2583020506,1887754987,4.0
1887754987,1887754986,49.0
1889922597,1889922595,25.5
2338611881,2338611967,27.5
2338611328,1887754887,29.5
1887754887,1887754886,33.5
5774223823,5774223824,30.5
5774223824,2338611399,29.5
2294658980,2294658981,2.0
1887754944,1889922614,51.0
1889922614,1887754943,96.0
1887754943,4111735099,96.0
2338611406,1838165790,70.5
1838165790,1838165831,93.0
1838165831,1838172956,93.0
1838172956,1838172957,93.0
1887754892,2338611399,2.0
2599734467,2551144154,24.5
1838172958,2610706525,2.0
2290327742,4093052804,1.0
1838155815,1838155813,32.5
2338611306,1887754886,99.0
1838155809,1838147079,25.5
2338611881,1887754944,3.0
1887754944,1887754909,3.0
1836928427,1606192372,3.0
1606192372,4494751017,188.0
4494751017,1838165815,188.0
1838165815,1836928399,25.5
1836928399,1888275110,26.5
1888275110,1838165770,96.0
1838165770,1836928402,96.0
1887754953,2338611974,23.5
1838259418,1838167531,1.0
1838167531,1838167529,1.0
2337987248,2577699840,1.0
1889318066,1889318065,1.0
1889318068,1838155815,4.0
2572803560,1888017797,72.5
2339942388,1887754966,2.0
1887754966,1887754957,96.0
2551144157,2551144153,23.5
2551144153,2551144154,91.0
2610706898,1838172962,4.0
1838172962,2610706525,49.0
2610706525,1838172958,4.0
1838172958,2338611618,4.0
1889318062,1889318060,138.0
2337986640,1887754965,5.0
1889318056,2338611319,146.0
2339942501,4111735093,6.0
2551144152,4111933106,23.5
4111933106,1887754998,23.5
1887754998,4111735093,48.0
1887754944,2338611974,1.0
1838172957,1838172956,24.5
1838172956,1838172958,24.5
1888275099,1888275110,48.0
2339942493,4111735094,1.0
4111735094,2339942494,1.0
2339942494,1887754975,1.0
1887754975,1889922684,1.0
1889922684,1887754978,71.5
4111735101,2338611395,1.0
2338611395,333701719,1.0
333701719,4111735100,1.0
2338611328,1887754893,2.0
1838155815,1887754929,1.0
2338611599,1887754909,96.0
4111731288,2393508156,1.0
2393508156,1284244509,1.0
1284244509,1888275028,3.0
2339942265,2339942267,1.0
2339942267,1887754957,23.5
2612218095,2612218097,3.0
2612218097,1887754938,26.5
1887754938,2338611968,27.5
2338611540,1836928388,46.0
1887754887,1889318056,25.5
1887754967,1887754966,26.5
2339942388,1887754965,3.0
2602244874,2583020491,23.5
1838147114,1838147077,5.0
1889318070,1889318072,23.5
1889318072,1887754933,24.5
1888017796,1888017797,23.5
1888017797,1887996651,25.5
1887996651,1887996655,49.0
1888275110,1836928388,2.0
1838165790,1889318058,23.5
1889318058,1889318056,71.5
1887754963,1887754982,2.0
1887754982,1887754986,47.0
1837840878,1887754948,23.5
1887754948,1887754947,46.0
1887754947,1838147079,68.5
1015952945,1015953023,46.0
1015953023,2296518017,46.0
1889922595,1838155802,24.5
2599734460,1887754978,23.5
2339942493,2339942501,1.0
2612218097,2610834867,2.0
2610834867,1838259408,24.5
1838259408,2338611599,24.5
333701728,1887754998,2.0
1889922691,333701728,1.0
1838172961,2338611618,1.0
2338611618,4111735100,1.0
1888017801,1887754886,218.5
1887754963,2591061751,1.0
1887754894,1889318058,47.0
4111735095,2339942385,48.0
2339942385,2339942386,48.0
2339942386,1889922684,48.0
1889922624,1838155808,23.5
1838155808,1838155801,1.0
1836928396,1888275099,1.0
2339942384,1889318078,23.5
2583020704,2583020711,23.5
2583020711,2551144154,23.5
1838165770,1888275110,1.0
1887754956,1887754953,1.0
2583020704,2583020506,1.0
2338611344,2338611319,24.5
1836928393,1889318064,2.0
1889318064,1888275170,2.0
1888275170,1889318073,2.0
2339942384,4111735095,46.0
2338611974,1887754953,1.0
1889318083,1887754995,1.0
1836928429,1836928398,46.0
1836928398,1836928433,48.0
5774223824,2338611346,1.0
2338611346,2338611317,1.0
1832887586,2548007330,48.0
2548007330,2548007277,102.0
448080659,2293141123,84.5
2293141123,1886255790,76.5
1886255790,2509011686,76.5
2509011686,2294260670,84.5
2294260670,1886255789,261.0
1886255789,1886255791,238.5
2294260756,1886255796,141.0
4459511301,412490211,47.0
412490211,2293447343,1.0
2293447343,429729058,8.0
429729058,412490212,56.0
412490212,442982586,56.0
442982586,412490200,102.0
2294260613,2293140980,27.5
2293140980,1886255788,343.0
1829320367,1829320343,51.0
1836104808,2506040411,71.5
461774966,448080659,12.0
1886255793,1837295571,155.0
1832887286,2293140717,123.5
2293140717,2293140768,123.5
1864029334,7565580124,52.0
7565580124,7565580126,152.0
7565580126,1832887311,105.0
1888275330,1837295571,33.5
1886255791,2293141123,134.5
2294260670,2294260613,6.0
2294260613,2294260604,90.5
2294260604,2293140768,205.0
1886255791,1886255789,1.0
1886255789,2293140980,52.0
1886255788,1886255792,5.0
2555402869,2555402982,57.0
2548007777,2548007330,138.0
2550533840,2550533843,5.0
2550533843,2541352731,27.5
2541352731,1832887289,29.5
2541352729,1832887289,28.5
1832887317,7565580124,76.5
2293141031,1837295573,80.5
1837302591,1832892762,191.0
1832892762,1832887313,168.5
1832887313,2294260605,192.0
2294260605,2293140980,238.0
1886255788,2293141031,29.5
465501109,465501108,3.0
465501108,412489539,25.5
412489539,4267886508,25.5
4267886508,412490210,28.5
412490210,442983205,28.5
2541352733,1864029327,24.5
1864029327,7565580121,51.0
7565580121,1829320371,51.0
1829320371,1829320353,51.0
1829320353,7565580126,51.0
1886255790,461750372,30.5
461750372,461750370,54.0
461750370,448080659,88.5
1886255795,559950141,5.0
559950141,4169601754,28.5
4169601754,448961305,28.5
448961305,1857314350,28.5
1857314350,266728691,28.5
266728691,266728692,28.5
266728692,1836106391,28.5
1836106391,1886255794,99.0
442983207,440101585,2.0
440101585,4267886507,27.5
4267886507,418979145,27.5
418979145,4267886508,27.5
1832887297,1832892761,1.0
1832892761,1832892755,100.0
1832892755,1832887286,99.0
1888275116,2293447344,50.0
2293447344,4469560664,77.5
4469560664,429729053,75.5
1864029325,1832887317,49.0
2555402982,2548159453,48.0
2548159453,1829320367,49.0
1832887291,7565580117,50.0
7565580117,482481861,51.0
482481861,7565422703,78.5
7565422703,2548007181,50.0
2548007181,2548007180,116.5
1832887282,1832887298,69.5
1832887293,1832887298,141.0
1832881750,1832887309,28.5
1832887309,2293140664,29.5
2293140664,2548278065,7.0
2548278065,1832887289,30.5
1832892766,1832892764,143.0
1832892764,1832892767,98.0
1832892767,1832892761,165.5
2548007330,1832887586,137.0
1832887586,1832892760,163.5
1832892760,1865549587,92.0
241793111,482481861,26.5
2548007181,1832887586,49.0
1864029323,418995720,1.0
418995720,412490200,1.0
1864029343,1864029340,27.5
1864029340,7565580117,27.5
7565422703,4269660037,28.5
4269660037,2548159475,74.5
2548159475,2555402982,99.0
1837302594,4239756256,3.0
4239756256,1888275240,27.5
1888275240,461776141,123.5
461776141,1837295573,121.5
1832892764,1832892760,137.0
2548007180,1836105931,93.0
1836105931,1829320362,94.0
1829320362,1829320367,93.0
1829320367,2548159453,93.0
2548159453,2555402982,145.0
1889318071,2293140695,1.0
1832892755,1832887298,73.5
1832887292,1832887296,27.5
1832892762,1832892768,68.5
1832847432,461768692,28.5
461768692,461776141,28.5
418979239,1836364516,94.0
1889922563,412490200,116.5
4270116298,525171230,23.5
525171230,440101585,23.5
4267886508,412489539,24.5
412489539,2293141031,24.5
1837295573,4239756256,75.5
2293447343,2293447344,3.0
1832887279,1832887293,92.0
1832887298,1832887296,92.0
429729058,2293447343,1.0
1832847413,1832847389,1.0
1832847389,2290026087,1.0
2290026087,8263725413,1.0
8263725413,2296008011,1.0
2296008011,266608454,1.0
266608454,412489540,1.0
412489540,412489543,1.0
412489543,440101585,1.0
4239756256,2287610773,27.5
2287610773,1888275331,1.0
1888275331,418979144,1.0
418979144,1832847407,1.0
1832847407,1832847420,1.0
1832892758,1832892768,68.5
1832887289,1832887294,2.0
1832887294,457431976,24.5
1832892752,2509011573,3.0
1888275116,1888275113,3.0
1888275113,418979239,50.0
418979239,1838721605,72.5
1832847407,1832847432,2.0
2287610773,2287610781,26.5
1906846486,412489543,2.0
