u,v,freq
2338611968,1887754938,144.0
1887754938,2612218097,145.0
2612218097,2610834867,170.5
2610834867,1838259408,193.0
1838259408,1838259418,196.0
1838259418,1836903644,197.0
1836903644,1889922566,197.0
1889922566,1888275014,197.0
1888275014,1888275022,242.0
1888275022,1888275028,683.5
2338611319,1888017797,195.0
1888017797,1887996651,420.5
1887996651,2574408063,619.5
2574408063,1889318031,685.5
1889318031,1892569197,736.5
1892569197,1838155804,522.5
1838155804,1887754884,546.0
1887754884,4111731288,548.0
4111731288,2393508156,1816.5
2393508156,1284244509,1816.5
1284244509,1888275028,1818.5
2572803560,1888017797,103.0
2607212013,1838274412,71.5
1838274412,1838278128,71.5
1838278128,2338611968,139.0
2577699840,2577699890,72.5
2577699890,2337987571,799.5
1887754933,1838155808,58.0
1838155808,1889922624,86.5
1889922624,1838147079,87.5
1838147079,1887754947,88.5
1887754947,1838155814,133.5
1838155814,1838155803,272.5
1838155803,1838147074,272.5
1838147074,12147381187,295.0
12147381187,1837850891,295.0
1837850891,2339942285,317.5
2339942285,2339942387,409.5
2339942387,1837850885,522.0
1837850885,2337987248,1200.5
2337987248,2337987571,1201.5
2610706525,1838172958,53.0
1838172958,2338611618,58.0
2338611618,1838172961,92.5
1838172961,2338611399,116.0
2338611399,4111735101,749.0
4111735101,535273492,871.5
535273492,4111731288,1267.5
1838155802,1887754929,59.0
1887754929,1838155811,69.0
1838155811,1838147077,71.0
1838147077,1889922623,76.0
1889922623,1837850894,100.5
1837850894,1836924079,100.5
1836924079,1888275216,100.5
1888275216,2293140750,125.0
2293140750,1889318074,125.0
1889318074,2293140755,147.5
2293140755,1888275222,170.0
1888275222,412489540,548.0
412489540,412489543,571.5
1887754957,1887754966,24.5
1887754966,2296518017,174.5
2296518017,1837850876,197.0
1837850876,1015952996,430.0
1015952996,1837850875,542.5
1837850875,1837850885,565.0
1838155810,1889922597,24.5
1889922597,1889318059,70.5
1889318059,1889318058,160.5
1889318058,1838165790,261.5
1838165790,1838165831,475.0
1838165831,1838172956,475.0
1838172956,1838172957,550.5
1838172957,1887754892,575.0
1887754892,2338611399,599.5
1887754894,1887754893,1.0
1887754893,1889922595,5.0
1889922595,1838155802,54.0
10668335614,1838147077,2.0
1836928429,1836928398,49.0
1836928398,1836928433,79.5
1836928433,1889318071,195.0
1889318071,2293140695,196.0
2293140695,1836928400,355.5
1836928400,1836924070,378.0
1836924070,1888275222,378.0
2572804088,2338611319,75.5
1889318083,1887754995,24.5
1887754995,2337987366,24.5
2337987366,2337987615,24.5
2337987615,2577699890,727.0
1836928402,1888275099,3.0
1888275099,4494751017,50.0
4494751017,1838165815,336.0
1838165815,1836928398,28.5
2599734467,2551144154,35.5
2551144154,2551144158,154.0
2551144158,1838278124,199.0
1838278124,2551144160,199.0
2551144160,1887755011,199.0
1887755011,2551144162,199.0
2551144162,1889922706,507.5
1889922706,2337987642,507.5
2337987642,4111735092,578.0
4111735092,2551144161,578.0
2551144161,2337987615,679.0
2583020506,1887754987,3.0
1887754987,1887754986,3.0
1887754986,2599734467,27.5
1836928388,2338611540,47.0
2338611540,1836928425,70.5
1836928425,1836928433,93.0
2338611881,2338611599,59.0
2338611599,1838167529,130.5
1838167529,2338611403,176.5
2338611403,2338611395,176.5
2338611395,535273492,396.0
2338611328,2338611306,7.0
2338611306,1887754883,12.0
1887754883,1889922555,79.5
1889922555,1887754872,124.5
1887754872,2540830557,81.5
2540830557,1887754861,104.0
1887754861,2571329881,104.0
2571329881,2571329872,105.0
2571329872,1836903633,127.5
1836903633,1823311600,127.5
1823311600,258765262,151.0
258765262,1823311560,197.0
1823311560,258765264,427.0
258765264,1823311511,427.0
1823311511,258765265,951.5
258765265,1890686199,951.5
1890686199,4446361810,996.5
4446361810,1890686202,1041.5
1890686202,1823311505,1043.5
1823311505,1836364507,1590.0
5774223823,5774223824,30.5
5774223824,2338611399,30.5
2294658980,2294658981,2.0
2294658981,1888275216,24.5
1887754953,2338611974,49.0
2338611974,1887754944,52.0
1887754944,1887754909,104.0
1887754909,1889922600,174.5
1889922600,333701719,174.5
333701719,2338611395,219.5
1887754886,1888017801,29.5
1888017801,1887754881,193.0
1887754881,1887754873,245.0
1887754873,2540830576,396.0
2540830576,1887996652,449.0
1887996652,1892559427,481.5
1892559427,1887754862,551.0
1887754862,1887754860,555.0
1887754860,1888274896,601.0
1888274896,1888274876,646.0
1888274876,1888274859,737.0
1888274859,2618437516,783.0
2618437516,2618437510,1253.5
2618437510,2618437508,1524.0
2338611406,1838165790,167.5
1838155801,1838155808,3.0
2338611967,2338611881,28.5
2610706898,4111735099,121.5
4111735099,4111735100,121.5
4111735100,4111735101,121.5
2290327742,4093052804,1.0
4093052804,2290327724,1.0
2290327724,2315831674,23.5
2315831674,4092740746,23.5
4092740746,418979136,23.5
418979136,2323766924,23.5
2323766924,2293141164,23.5
2293141164,1918180948,23.5
1918180948,1889318085,23.5
1889318085,2337987615,23.5
1838155815,1887754929,7.0
1889318078,2339942285,92.0
1838155809,1838155814,139.0
1836928427,1606192372,26.5
1606192372,4494751017,286.0
1838165815,4093052796,308.5
4093052796,1889318040,308.5
1889318040,2550533052,163.5
2550533052,1888274950,163.5
1888274950,4451835867,163.5
4451835867,4270083364,676.5
4270083364,4270083362,676.5
4270083362,1836364507,676.5
1887754964,1887754963,74.5
1887754963,2591061751,77.5
2591061751,1887754978,104.0
1887754978,2599734460,171.5
2599734460,2551144153,195.0
2551144153,2551144157,285.0
2551144157,2588593986,308.5
2588593986,2551144159,308.5
2551144159,2551144162,308.5
1889318066,1889922623,24.5
1887754887,1887754894,52.0
