u,v,freq
2293141127,1015953056,4
1015953056,2296518017,10
2296518017,1837850876,37
1837850876,1015952996,54
1015952996,1837850875,54
1837850875,1837850885,54
1837850885,2337987248,85
2337987248,2337987571,86
1836924079,1888275216,31
1888275216,2293140750,39
2293140750,1889318074,41
1889318074,2293140755,61
2293140755,1888275222,68
1888275222,412489540,115
412489540,412489543,130
258765153,2337986628,1
2337986628,1889318081,3
1889318081,258765154,3
258765154,2293141127,3
2337987366,2337987615,5
2337987615,2577699890,59
2577699890,2337987571,59
2338611406,1838165790,8
1838165790,1838165831,16
1838165831,1838172956,17
1838172956,1838172957,26
1838172957,1887754892,26
1887754892,2338611399,29
2338611399,4111735101,31
4111735101,535273492,32
535273492,4111731288,50
4111731288,2393508156,54
2393508156,1284244509,54
1284244509,1888275028,62
1889922595,1838155802,5
1838155802,1887754929,7
1887754929,1838155811,13
1838155811,1838147077,14
1838147077,1889922623,19
1889922623,1837850894,28
1837850894,1836924079,29
1888017799,1887754883,4
1887754883,1889922555,10
1889922555,1887754872,10
1887754872,2540830557,10
2540830557,1887754861,10
1887754861,2571329881,10
2571329881,2571329872,14
2571329872,1836903633,14
1836903633,1823311600,16
1823311600,258765262,22
258765262,1823311560,27
1823311560,258765264,31
258765264,1823311511,32
1823311511,258765265,49
258765265,1890686199,50
1890686199,4446361810,56
4446361810,1890686202,57
1890686202,1823311505,58
1823311505,1836364507,85
1887754933,1838155808,3
1838155808,1889922624,8
1889922624,1838147079,9
1838147079,1887754947,11
1887754947,1838155814,14
1838155814,1838155803,19
1838155803,1838147074,19
1838147074,12147381187,19
12147381187,1837850891,19
1837850891,2339942285,24
2339942285,2339942387,24
2339942387,1837850885,25
2294658981,1888275216,4
1887754987,1887754986,6
1887754986,2599734467,10
2599734467,2551144154,13
2551144154,2551144158,15
2551144158,1838278124,16
1838278124,2551144160,16
2551144160,1887755011,16
1887755011,2551144162,16
2551144162,1889922706,34
1889922706,2337987642,34
2337987642,4111735092,37
4111735092,2551144161,37
2551144161,2337987615,42
2551144153,2551144157,16
2551144157,2588593986,18
2588593986,2551144159,18
2551144159,2551144162,18
1838155813,1838155801,1
1838155801,1838155811,1
2610706898,4111735099,1
4111735099,4111735100,1
4111735100,4111735101,1
1887754938,2612218097,9
2612218097,2610834867,10
2610834867,1838259408,10
1838259408,1838259418,11
1838259418,1836903644,12
1836903644,1889922566,13
1889922566,1888275014,14
1888275014,1888275022,14
1888275022,1888275028,15
1015952945,1837850876,12
1838278128,2338611968,6
2338611968,1887754938,7
1836928396,1836928427,6
1836928427,1606192372,10
1606192372,4494751017,15
4494751017,1838165815,18
1838165815,4093052796,16
4093052796,1889318040,18
1889318040,2550533052,17
2550533052,1888274950,17
1888274950,4451835867,17
4451835867,4270083364,60
4270083364,4270083362,61
4270083362,1836364507,61
1887754894,1889318058,4
1889318058,1838165790,8
1889318066,1889922623,7
258765153,3498201570,1
3498201570,2293141066,3
2293141066,2315831411,3
2315831411,2293141065,6
2293141065,1889318080,11
1889318080,4092828638,11
4092828638,2293140998,13
2293140998,2293140919,15
2293140919,1889318074,20
10668335614,1838147077,3
1838147077,1838147114,1
1838147114,1887754946,4
1887754946,1887754955,5
1887754955,2337986640,8
2337986640,1887754965,13
1887754965,2339942388,17
2339942388,1887754966,22
1887754966,2296518017,27
2296518021,2296518023,11
2296518023,1015952945,11
1887754964,1887754963,3
