u,v,freq
1887754933,1838155808,2.0
1838155808,1889922624,5.0
1889922624,1838147079,5.0
1838147079,1887754947,7.0
1887754947,1838155814,7.0
1838155814,1838155803,7.0
1838155803,1838147074,7.0
1838147074,12147381187,7.0
12147381187,1837850891,7.0
1837850891,2339942285,8.0
2339942285,2339942387,9.0
2339942387,1837850885,9.0
1837850885,2337987248,23.0
2337987248,2337987571,23.0
2293140750,1889318074,9.0
1889318074,2293140755,12.0
2293140755,1888275222,13.0
1888275222,412489540,24.0
412489540,412489543,25.0
2610706898,4111735099,8.0
4111735099,4111735100,12.0
4111735100,4111735101,14.0
4111735101,535273492,28.0
535273492,4111731288,34.0
4111731288,2393508156,43.0
2393508156,1284244509,43.0
1284244509,1888275028,44.0
2572803560,1888017797,1.0
1888017797,1887996651,5.0
1887996651,2574408063,7.0
2574408063,1889318031,10.0
1889318031,1892569197,10.0
1892569197,1838155804,8.0
1838155804,1887754884,8.0
1887754884,4111731288,9.0
1887754965,2339942388,2.0
2339942388,1887754966,2.0
1887754966,2296518017,4.0
2296518017,1837850876,11.0
1837850876,1015952996,13.0
1015952996,1837850875,13.0
1837850875,1837850885,13.0
1838172961,2338611399,7.0
2338611399,4111735101,14.0
1889318064,1888275170,2.0
1888275170,1889318073,2.0
1889318073,2293140695,4.0
2293140695,1836928400,9.0
1836928400,1836924070,11.0
1836924070,1888275222,11.0
1838155813,1838155801,2.0
1838155801,1838155811,3.0
1838155811,1838147077,6.0
1838147077,1889922623,6.0
1889922623,1837850894,7.0
1837850894,1836924079,7.0
1836924079,1888275216,7.0
1888275216,2293140750,8.0
1887754929,1838155811,3.0
2293141127,1015953056,3.0
1015953056,2296518017,5.0
1887754986,2599734467,1.0
2599734467,2551144154,1.0
2551144154,2551144158,2.0
2551144158,1838278124,2.0
1838278124,2551144160,2.0
2551144160,1887755011,2.0
1887755011,2551144162,2.0
2551144162,1889922706,4.0
1889922706,2337987642,4.0
2337987642,4111735092,4.0
4111735092,2551144161,4.0
2551144161,2337987615,5.0
2337987615,2577699890,10.0
2577699890,2337987571,10.0
4093052804,2290327724,2.0
2290327724,2315831674,5.0
2315831674,4092740746,5.0
4092740746,418979136,5.0
418979136,2323766924,5.0
2323766924,2293141164,5.0
2293141164,1918180948,5.0
1918180948,1889318085,5.0
1889318085,2337987615,5.0
2315831622,2290327724,3.0
2296518021,2296518023,1.0
2296518023,1015952945,1.0
1015952945,1837850876,1.0
1838172958,2338611618,4.0
2338611618,1838172961,6.0
1887754967,1837850876,1.0
1838155802,1887754929,2.0
1838172963,1838172956,3.0
1838172956,1838172957,5.0
1838172957,1887754892,6.0
1887754892,2338611399,6.0
1838155801,1838155808,3.0
2591061751,1887754978,1.0
1887754978,2599734460,2.0
2599734460,2551144153,2.0
2551144153,2551144157,2.0
2551144157,2588593986,2.0
2588593986,2551144159,2.0
2551144159,2551144162,2.0
1888275010,1888275012,3.0
1888275012,1888275014,4.0
1888275014,1888275022,5.0
1888275022,1888275028,6.0
2315831568,2315831622,1.0
1889318078,2339942285,1.0
2338611319,1888017797,1.0
2338611974,1887754944,4.0
1887754944,1887754909,4.0
1887754909,1889922600,5.0
1889922600,333701719,5.0
333701719,2338611395,5.0
2338611395,535273492,6.0
1887754953,2338611974,1.0
1838167529,2338611403,1.0
2338611403,2338611395,1.0
1887754957,1887754966,2.0
2293140919,1889318074,3.0
1887754886,1888017801,1.0
1888017801,1887754881,1.0
1887754881,1887754873,1.0
1887754873,2540830576,1.0
2540830576,1887996652,1.0
1887996652,1892559427,1.0
1892559427,1887754862,1.0
1887754862,1887754860,4.0
1887754860,1888274896,4.0
1888274896,1888274876,4.0
1888274876,1888274859,4.0
1888274859,2618437516,4.0
2618437516,2618437510,11.0
2618437510,2618437508,18.0
1889922595,1838155802,1.0
1836928388,2338611540,1.0
2338611540,1836928425,1.0
1836928425,1836928433,1.0
1836928433,1889318071,4.0
1889318071,2293140695,4.0
1836928402,1888275099,1.0
1888275099,4494751017,1.0
4494751017,1838165815,2.0
1838165815,1836928398,1.0
1836928398,1836928433,1.0
2610706525,1838172958,2.0
1838172962,2610706898,4.0
2339942500,1837850885,1.0
2315831568,2315831446,2.0
2315831446,2293141124,2.0
2293141124,2293141065,2.0
2293141065,1889318080,2.0
1889318080,4092828638,2.0
4092828638,2293140998,2.0
2293140998,2293140919,2.0
1889922645,410109202,1.0
410109202,4111735096,1.0
4111735096,1889318075,1.0
1889318075,10668335643,1.0
10668335643,1837850891,1.0
1889318075,4111735096,1.0
4111735096,4111735099,1.0
258765153,2337986628,1.0
2337986628,1889318081,1.0
1889318081,258765154,1.0
258765154,2293141127,2.0
2294658981,1888275216,1.0
1889922564,1888275010,1.0
2293141066,2293141128,1.0
2293141128,2293141132,1.0
2293141132,1015953056,1.0
4111735093,2339942501,1.0
2339942501,2551144161,1.0
2338611317,1887754885,1.0
1887754885,1887754884,1.0
2612875751,1889922565,1.0
1889922565,1889922566,1.0
1889922566,1888275014,1.0
1889318065,1889318066,1.0
1889318066,1889922623,1.0
1886255791,1886255789,8.0
1886255789,2293140980,9.0
2293140980,1886255788,9.0
1886255788,2293141031,10.0
2293141031,1837295573,10.0
1837295573,4239756256,13.0
4239756256,1888275240,14.0
1888275240,461776141,19.0
461776141,418979145,21.0
418979145,4267886508,21.0
4267886508,412490210,69.0
412490210,4267886507,69.0
4267886507,440101585,69.0
440101585,412489543,85.0
4092491898,2156974127,13.0
2156974127,2156974128,39.0
2156974128,2156974126,51.0
2156974126,2156974124,52.0
2156974124,4212704071,70.0
4212704071,4212704072,70.0
4212704072,1829575039,97.0
1829575039,1829575036,104.0
1829575036,4224135786,113.0
4224135786,1834494253,173.0
1834494253,1834494237,174.0
1834494237,2662208084,195.0
2662208084,1830337943,196.0
1830337943,1830337928,197.0
1830337928,574337168,236.0
574337168,2835224027,295.0
1836105931,4269660038,7.0
4269660038,4269660041,7.0
4269660041,4269660037,7.0
4269660037,2548159475,3.0
2548159475,1851819295,20.0
1851819295,1864017474,20.0
1864017474,465496833,20.0
465496833,465496835,20.0
465496835,442978856,20.0
442978856,457431971,20.0
457431971,442978857,20.0
442978857,1833002208,20.0
1833002208,1026970656,20.0
1026970656,2559516511,20.0
2559516511,1851845081,20.0
1851845081,1851845037,20.0
1851845037,1837295563,20.0
1837295563,1851834359,35.0
1851834359,4426123476,35.0
4426123476,258765277,187.0
258765277,561138402,187.0
2548007277,2548007330,20.0
2548007330,1832887586,20.0
1832887586,1864029324,20.0
1864029324,1832887293,20.0
1832887293,1832887298,20.0
1832887298,1832887282,24.0
1832887282,1832887292,38.0
1832887292,1829320353,38.0
1829320353,7565580126,38.0
7565580126,7565580121,44.0
7565580121,7565580119,45.0
7565580119,1837295557,48.0
1837295557,2293447347,48.0
2293447347,1837302590,48.0
1837302590,465501108,48.0
465501108,412489539,48.0
412489539,4267886508,48.0
2509011573,1832892752,21.0
1832892752,1832892766,12.0
1832892766,1832892764,12.0
1832892764,1832892767,12.0
1832892767,1832892761,12.0
1832892761,1832892755,12.0
1832892755,1832892758,12.0
1832892758,1832887282,13.0
1829320362,1829320367,11.0
1829320367,2548159453,16.0
2548159453,2555402982,16.0
2555402982,2548159475,17.0
430019272,436239884,8.0
436239884,436239897,18.0
436239897,411669989,22.0
411669989,440018190,25.0
440018190,1824873146,18.0
1824873146,1824874813,20.0
1824874813,1834375659,27.0
1834375659,1830345833,28.0
1830345833,437991345,72.0
437991345,7980986351,72.0
7980986351,457652923,93.0
457652923,473404784,106.0
473404784,1824880676,140.0
1824880676,1855631128,61.0
1855631128,675924682,66.0
675924682,1823311513,71.0
1823311513,1832901703,71.0
1832901703,258765311,73.0
258765311,1823311495,77.0
1823311495,258765300,88.0
258765300,4270083374,126.0
4270083374,1974916786,126.0
1974916786,1823311529,127.0
1823311529,6163875624,152.0
6163875624,4446361806,152.0
4446361806,4426123476,152.0
1836106390,2509011776,5.0
2509011776,2509011573,9.0
1832892752,529134967,9.0
529134967,1836104808,9.0
1836104808,2506040411,9.0
2506040411,1886255795,10.0
1886255795,559950141,13.0
559950141,4169601754,14.0
4169601754,448961305,13.0
448961305,1857314350,13.0
1857314350,266728691,13.0
266728691,567271279,13.0
567271279,2458037537,13.0
2458037537,567271254,13.0
567271254,567271230,13.0
567271230,448961307,13.0
448961307,448961308,33.0
448961308,2458037536,33.0
2458037536,528612288,33.0
528612288,1886255799,33.0
1886255799,1886255798,33.0
1886255798,2458037535,33.0
2458037535,1851790547,35.0
1851790547,437985748,35.0
437985748,1834494255,35.0
1834494255,1834494258,35.0
