serial number,year,date,time,accident details,route,accident type,party 1,party 2,Party 3,Party 4,Party 5,latitude,longitude,elementary school district,dead
1,H29,12/7/2016,9:45,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自転車,自動車,,,,34.79217861,135.3945161,,
2,H29,12/17/2016,7:50,軽傷事故,一般市道,左折時,自転車,自転車,,,,34.76638167,135.4207589,,
3,H29,1/2/2017,9:50,軽傷事故,県道尼崎池田線,左折時,自動車,自転車,,,,34.77895,135.4180619,,
4,H29,1/6/2017,0:35,軽傷事故,一般市道,追突,二輪車,自転車,,,,34.78942806,135.3835361,,
5,H29,1/7/2017,9:00,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78610167,135.3812872,,
6,H29,1/7/2017,19:10,軽傷事故,県道中野中筋線,左折時,自動車,自転車,,,,34.79038611,135.3811008,,
7,H29,1/9/2017,14:15,軽傷事故,県道尼崎宝塚線,右折時,自動車,自転車,,,,34.7742375,135.3848036,,
8,H29,1/10/2017,8:10,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.81124417,135.3896517,,
9,H29,1/11/2017,17:35,軽傷事故,一般市道,出合い頭,自転車,不明,,,,34.76466472,135.4157872,,
10,H29,1/11/2017,17:42,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78456833,135.3762586,,
11,H29,1/13/2017,14:55,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.79579556,135.3968111,,
12,H29,1/13/2017,17:50,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.77647222,135.3994625,,
13,H29,1/14/2017,18:07,軽傷事故,一般市道,すれ違い時,自転車,自動車,,,,34.78733111,135.3865261,,
14,H29,1/16/2017,8:00,軽傷事故,県道尼崎宝塚線,単独事故,自転車,,,,,34.77581917,135.3847936,,
15,H29,1/20/2017,7:53,軽傷事故,国道171号,右折時,自動車,自転車,,,,34.78204111,135.396695,,
16,H29,1/20/2017,16:00,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.76970556,135.3965836,,
17,H29,1/21/2017,14:05,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77687056,135.4174586,,
18,H29,1/22/2017,9:55,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.77489361,135.4145614,,
19,H29,1/22/2017,18:00,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.79771306,135.40485,,
20,H29,1/23/2017,15:51,軽傷事故,一般市道,出合い頭,自動車,自転車,自転車,,,34.77782306,135.4179181,,
21,H29,1/25/2017,13:17,軽傷事故,一般市道,すれ違い時,自転車,自転車,,,,34.80056556,135.3874061,,
22,H29,1/25/2017,16:55,軽傷事故,一般市道,車両相互,自動車,自転車,自転車,自転車,,34.76685,135.4206,,
23,H29,1/26/2017,8:05,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77499333,135.415675,,
24,H29,1/26/2017,16:30,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.76851806,135.3982867,,
25,H29,1/30/2017,8:20,軽傷事故,県道米谷昆陽尼崎線,出合い頭,自動車,自転車,,,,34.79083306,135.3893511,,
26,H29,2/1/2017,17:52,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.792435,135.3964889,,
27,H29,2/2/2017,12:10,重傷事故,一般市道,左折時,自動車,自転車,,,,34.79215556,135.3838631,,
28,H29,2/3/2017,10:40,軽傷事故,県道尼崎池田線,出合い頭,自動車,自転車,,,,34.78869861,135.4169108,,
29,H29,2/5/2017,18:15,軽傷事故,県道中野中筋線,左折時,自動車,自転車,,,,34.79392194,135.38686,,
30,H29,2/6/2017,9:20,軽傷事故,その他,すれ違い時,自動車,自転車,,,,34.80281389,135.4026431,,
31,H29,2/6/2017,21:20,軽傷事故,県道姥ケ茶屋伊丹線,出合い頭,自動車,自転車,,,,34.79772694,135.3823681,,
32,H29,2/7/2017,18:46,軽傷事故,国道171号,右折時,自動車,自転車,,,,34.79341111,135.4100589,,
33,H29,2/8/2017,14:55,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.76287806,135.3987189,,
34,H29,2/10/2017,6:33,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.79985722,135.3957606,,
35,H29,2/11/2017,7:17,軽傷事故,県道寺本伊丹線,出合い頭,自動車,自転車,,,,34.77896611,135.3992231,,
36,H29,2/12/2017,7:45,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.81453389,135.3887031,,
37,H29,2/12/2017,13:20,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.76956306,135.4130339,,
