u,v,freq
4586512367,4586512498,133.5
4586512498,1830143995,214.0
1830143995,1830143993,213.0
1830143993,4380084810,235.5
4380084810,1833419234,298.5
1833419234,1833419236,342.0
1833419236,1833419249,280.0
1833419249,3920625960,373.0
3920625960,1833721718,527.5
1833721718,1833721697,376.5
1833721697,3920626003,376.5
3920626003,4380090984,376.5
4380090984,1111292977,378.5
1111292977,4380090985,379.5
4380090985,1833419207,379.5
1833419207,1831852769,396.0
1831852769,1111292989,371.5
1833718124,668916353,174.0
3456547520,1834353917,101.0
1834302678,1834302623,22.0
1834302623,1834302590,83.0
1834315939,1834315929,19.0
1834315929,1834315871,19.0
1834315871,1834003874,17.0
1834328392,1834328374,23.0
1834353912,1834353935,17.0
4585006357,1724195927,437.0
1724195927,1724195929,215.5
1724195929,1722798397,318.5
1722798397,1722792895,231.0
1834353886,1834353906,19.0
1834353906,1834353876,58.5
1722798397,668899795,92.5
668899795,1722794767,237.0
1722794767,1028052750,161.0
1028052750,1722798391,161.0
3920665306,5603446999,75.0
5603446999,1833578368,89.5
1833578368,2402961829,90.5
2402961829,3283755325,94.5
3283755325,2402972074,130.5
2402972074,4378664064,131.5
4378664064,4378664065,235.5
4378664065,2402972061,301.0
2402972061,3283755326,94.5
3283755326,2402960449,98.5
2402960449,2402960451,94.5
2402960451,4378346485,95.5
1834328356,1834328349,142.5
1834093836,1833708259,10.0
1833708259,1829343802,10.0
1829343802,3920625726,12.0
3920625726,3920625733,18.0
3920625733,4586445898,18.0
1834315861,1834315902,27.0
1834093831,1834093793,11.0
1834093793,1834093746,56.5
1834093771,1834093834,58.0
1833578346,1833578343,17.0
1833578343,3920665306,17.0
5603446999,5603447008,18.0
5603447008,5603447001,20.0
5603447001,5603447006,16.0
5603447006,5603447005,35.0
5603447005,5603446992,16.0
5603446992,5603446995,75.0
1834332229,1834353917,114.0
1834093820,1834093776,18.0
1834093776,1834093827,27.0
1834093827,5581688888,33.0
4483175451,4483175450,281.0
4483175450,4585055704,372.5
4379108112,4379108110,63.0
4379108110,1833578323,73.0
1834302498,1834302711,5.0
4585006274,1722798411,161.5
1722798411,2402972085,178.5
2402972085,4585006357,321.0
1724195927,2402972073,238.5
2402972073,2402972068,238.5
2402972068,2402972101,282.0
2402972101,2402132670,283.0
2402132670,2402132783,283.0
2402132783,4379108114,245.5
4379108114,2402132706,341.5
2402132706,2402132777,239.5
2402132777,2402132622,245.5
4585006286,2402972085,134.5
1834328343,1834328349,132.5
12956910944,1833551661,50.0
4585055573,4585055704,52.5
1834302539,1834302501,5.0
1834302501,1834302590,17.0
1834315861,1834315939,1.0
1834315871,1834315918,10.0
1834353880,1834353935,2.0
1834353935,1834353912,10.0
1834353912,1834353882,53.5
1834302672,1834302708,8.0
1834011893,1834011876,34.5
1834011876,1834353898,53.5
1834353898,1834353876,93.0
2402132717,2402132752,31.5
2402132752,2402132672,62.0
1834353918,1833558992,31.5
1833558992,1833559004,57.0
1833718128,1833718124,30.5
1834302510,1834302587,10.0
1834302587,1834302734,17.0
1834302734,1834302663,60.5
3920665583,1722798411,13.0
1834093784,1834093771,4.0
4586502063,4586502036,50.5
4586502036,1834093815,81.0
1834093815,1834093799,64.0
1834093799,1834093777,133.5
1834093777,1834093762,161.0
1834328355,1834328347,7.0
1834328347,1833721704,74.0
1834328333,1834011903,109.5
1833551667,1834353874,10.0
1834353874,1834353904,89.5
1834353904,1834353917,120.0
1834302565,1834302577,6.0
1834302577,1834302703,33.0
2402132618,2402132622,23.5
1833578343,4585055567,17.0
4585055567,4585055688,74.0
4585055688,4585055704,149.5
1833407990,1724195929,9.0
1834093817,1834093825,21.0
1834093825,1834093834,71.0
5695790877,1722798401,129.5
1722798401,1833407961,130.5
1833407961,1833408011,176.5
1833408011,1833408007,208.0
1833408007,1833407996,213.0
1833407996,3456547528,213.0
3456547528,1722792911,333.5
1834315918,1834003855,3.0
1834003855,1834003874,28.5
668899921,1833559000,29.5
1833559000,3456547520,49.5
1834328293,1834328370,66.0
1834353914,1834011884,52.5
1834011884,1833559010,70.5
1833559010,1833559004,128.5
1833551692,1833578336,49.0
1833718129,1833718135,250.0
1834093744,1834093836,3.0
1834302701,1834302734,4.0
1833551697,1833565381,185.0
1833565381,1833551662,185.0
1833551662,1833565404,185.0
1833565404,5421607218,185.0
1834328390,1833721708,49.5
1833721708,1834328341,103.5
1834093740,1834302577,24.0
1834315833,1834315902,15.0
1833718132,3920624654,146.5
3920624654,4380084809,146.5
4380084809,1833718116,87.5
1833718116,1833718134,91.5
1833718134,1833721714,91.5
1833721714,3920625960,95.5
1834302565,1834302708,27.0
1834302711,1834302545,10.0
1834302545,1834302698,18.0
1833718116,1833718147,38.5
1833718147,1833718112,99.5
1833718112,1833718124,89.5
5096680336,4483175451,150.0
1834328357,1834328304,76.5
1834328304,1834328382,83.5
1834328382,1834328353,87.5
12654259761,4585006357,99.0
