u,v,freq
4586512367,1833407983,231.0
1833407983,1833419239,345.0
1833419239,2402972068,348.0
2402972068,2402972101,954.5
2402972101,2402132670,955.5
2402132670,2402132783,955.5
2402132783,4379108114,996.0
4379108114,2402132706,996.0
2402132706,2402132771,1080.5
2402132771,2402972108,1082.5
2402972108,2402972062,1082.5
2402972062,2402132790,1179.5
2402132790,2402132672,1183.5
2402132672,4585055723,1984.5
4585055723,2402132642,2032.0
2402132642,4379108111,2036.0
4379108111,1833551659,2038.0
1833551659,1833559001,3477.0
1833559001,1834353902,3500.5
1833718124,668916353,116.5
668916353,668899853,245.5
668899853,1833721699,272.0
1833721699,1834328349,318.5
1834328349,1834328356,331.5
1834328356,1834328357,435.5
1834328357,1834328304,816.0
1834328304,1834328382,1310.0
1834328382,1833721704,1427.5
1833721704,1834328374,1900.5
1834328374,1834328392,1924.0
1834328392,1834328351,2456.0
1834328351,1834328380,2581.0
1834328380,1834302520,2620.5
1834302520,1833559004,2716.0
1833559004,1833558992,2911.0
1833558992,1834353918,2959.0
1834353918,1833558991,3025.5
1833558991,1834353920,3057.0
1834353920,1834353902,5485.5
3456547520,1834353874,224.5
1834353874,1833551667,492.5
1833551667,1834353886,499.5
1834353886,1834011893,1994.5
1834011893,1834353920,2312.0
1834302678,1834302623,22.0
1834302623,1834302596,46.0
1834302596,1834302670,78.5
1834302670,1834302561,84.5
1834302561,1834302647,95.5
1834302647,1834302498,153.5
1834302498,1834302565,182.0
1834302565,1834302577,298.5
1834302577,1834093740,490.0
1834093740,1834093822,515.0
1834093822,1834315821,576.0
1834315821,1834093791,603.5
1834093791,1834003845,918.0
1834003845,668899893,1266.5
668899893,1834353875,1408.5
1834353875,1834353909,1415.5
1834353909,1834353886,1477.0
5581688888,1834093827,10.0
1834093827,1834093787,10.0
1834093787,1834093825,32.5
1834093825,1834093817,57.0
1834093817,1834093829,67.0
1834093829,1834093793,77.0
1834093793,1834302682,179.5
1834302682,1834302507,222.5
1834302507,1834302568,408.0
1834302568,1834302655,408.0
1834302655,1834011903,410.0
1834011903,3456547523,414.0
3456547523,1833721704,442.5
1834315939,1834315929,70.5
1834315929,1834315877,95.0
1834315877,1834315894,124.5
1834315894,1834315863,269.5
1834315863,1834003845,348.5
1834353912,1834353906,49.5
1834353906,1834011876,89.0
1834011876,1834011893,247.5
4585006357,1724195927,381.5
1724195927,2402972073,383.5
2402972073,2402972068,606.5
3920665306,1833578343,80.5
1833578343,1833578371,94.5
1833578371,1833578323,496.5
1833578323,4379108110,518.5
4379108110,4379108112,579.5
4379108112,4379108109,643.5
4379108109,1833551659,1439.0
1834093836,1834093772,79.0
1834093772,1834093753,91.0
1834093753,1834328293,102.0
1834328293,1834328370,324.5
1834328370,1834328359,327.5
1834328359,1834328297,353.0
1834328297,1834328290,377.5
1834328290,1834328388,439.5
1834328388,1834328372,479.0
1834328372,1834328304,487.0
1834315861,1834315873,43.0
1834315873,1834315872,104.5
1834315872,1834315908,135.0
1834315908,1834315894,145.0
1834093831,1834093793,59.0
1834093771,1834093784,53.0
1834093784,1834093750,89.5
1834093750,1834093751,114.0
1834093751,1834093746,160.0
1834093746,1834302507,162.0
1833551661,1833578336,179.5
1833578336,1833551692,618.0
1833551692,4379108109,789.5
1833578346,1833578371,154.5
1834332229,1834353933,104.5
1834353933,1834353904,147.0
1834353904,1834353874,211.0
1834093820,1834093797,21.0
1834093797,1834093831,30.0
4483175451,2402132717,133.5
2402132717,2402132752,635.0
2402132752,2402132672,750.0
1834353882,1834353912,8.0
1834315918,1834315871,43.5
1834315871,1834315886,53.5
1834315886,1834315863,79.0
4585006274,1722798411,107.0
1722798411,2402972085,124.0
2402972085,4585006357,265.5
4585006286,2402972085,133.5
1834328343,1834328337,204.5
1834328337,1834328360,244.0
1834328360,1834328357,280.5
4585055573,1833578371,171.5
1834302539,1834302501,5.0
1834302501,1834302734,17.0
1834302734,1834302587,58.5
1834302587,1834302510,66.5
1834302510,1834302571,76.5
1834302571,1834302504,122.0
1834302504,1834302672,170.5
1834302672,1834302577,177.5
1834353880,1834353935,4.0
1834353935,1834353876,32.0
1834353876,1834353898,49.0
1834353898,1834011876,141.5
1833718128,668916459,85.5
668916459,3456547526,90.5
3456547526,1833721703,90.5
1833721703,1834328376,130.0
1834328376,1833721698,187.0
1833721698,1833721708,193.0
1833721708,1834328390,240.0
1834328390,1834328355,279.5
1834328355,1834328347,298.5
1834328347,1834328335,330.0
1834328335,1834328392,509.0
3920665583,1722798411,13.0
1833578350,1833551661,27.0
1834093815,1834093799,93.0
1834093799,1834093777,185.0
1834093777,1834328300,188.0
1834328300,1834328294,214.5
1834328294,1834328293,216.5
1834353917,1834353904,33.5
4586502063,4586502036,47.5
4586502036,1834093815,78.0
1834328353,1834328382,107.5
1834328333,1834328353,99.5
2402132618,669783157,126.5
669783157,2402132693,341.5
2402132693,2402132717,443.5
1833407990,2402972073,222.0
5695790877,5695790875,54.0
5695790875,1833407977,153.0
1833407977,1833407990,154.0
4585055704,4585055573,95.5
668899921,1833559000,153.0
1833559000,3456547520,173.0
1834353914,1834353918,63.5
1833718129,1833718135,67.0
1833718135,1833718140,78.0
1833718140,668916353,125.0
1834093744,1834093836,14.0
1834302701,1834302734,2.0
1833551697,1833551692,117.5
1834315833,1834315902,18.0
1834315902,1834315928,30.0
1834315928,1834315873,35.0
1834332226,1833558994,36.0
1833558994,1834332229,63.0
1830143993,1833407983,37.5
1833718132,1833718128,49.0
1834302711,1834302708,64.0
1834302708,1834302565,93.5
1833718116,1833718147,37.5
1833718147,1833718112,39.5
1833718112,1833718124,51.5
1831867381,669781711,13.0
669781711,1833455415,328.5
1833455415,1833578336,330.5
5096680336,4483175451,99.0
12654259761,4585006357,99.0
1834315865,1834315934,11.0
1834315934,2428194938,23.0
2428194938,1834093780,23.0
1834093780,1833689689,32.0
1833689689,1833689686,32.0
1833689686,3113476363,32.0
3113476363,1834361377,32.0
1834361377,1833689691,32.0
1833689691,1834353913,32.0
1834353913,1834337367,32.0
1834337367,1833718137,51.0
1833718137,1834011872,54.0
1834011872,1834353898,59.0
1833565398,4483166868,37.5
4483166868,1834353902,39.5
1834315914,1834315939,47.5
1834353922,1834337367,19.0
2402132632,2402132618,98.0
4380084810,1830143993,12.0
1834302513,1834302682,36.0
1834315884,1834315861,27.0
1834011902,668899921,99.0
3920665460,3920665459,134.5
3920665459,2402972088,143.5
2402972088,669783157,167.0
3920665461,3920665460,97.0
1833407963,1833407962,4.0
1833407962,4586512367,71.5
3113478170,1834315925,2.0
1834315925,1834093780,9.0
1834302643,1834302678,8.0
1834093818,1834093803,3.0
1834093803,1834093753,5.0
3920665508,3920665509,23.0
3920665509,4585006258,31.0
4585006258,4585006274,90.0
1722792895,1722792893,10.0
1722792893,1722792911,11.0
1722792911,1722792885,35.5
1722792885,1833407990,59.0
1834315917,2428194939,12.0
2428194939,1834315934,12.0
4586512498,4586512367,101.5
4384718904,2402972075,31.5
2402972075,2402132783,40.5
1834302545,1834302711,49.0
1834302651,1834302513,15.0
1833551698,1834011893,57.0
1834003855,1834003874,67.0
1834003874,1834093791,289.0
1834003877,1834003854,49.0
1834003854,1834315855,113.0
1834315855,1834315813,153.0
1834315813,1834003874,189.5
5603447006,5603447005,10.0
5603447005,5603446996,41.5
5603446996,5603446989,43.5
5603446989,669781711,163.5
5603446992,5603447005,28.5
1834093813,1834302651,9.0
4585055567,4585055573,57.0
1834302580,1834332226,10.0
1833718121,1834328337,32.5
1834083176,1829343802,5.0
1829343802,1833708259,35.5
1833708259,1834093836,35.5
1834302690,1834302504,12.0
1834011884,1834353914,18.0
4586502055,4586445766,8.0
4586445766,5591596914,8.0
5591596914,1834302533,8.0
1834302533,1834302605,8.0
1834302605,5581688888,8.0
1834302703,1834302580,2.0
1834302698,1834302545,23.0
1834093776,1834093820,7.0
2402972070,4384718904,27.5
1833419198,1833419232,4.0
1833419232,1833407970,8.0
1833407970,1833419234,8.0
1833419234,4380084810,8.0
