u,v,freq
4586512367,1833407962,134.5
1833407962,5695790877,301.0
5695790877,1722798401,430.5
1722798401,1722792885,431.5
1722792885,1722792895,455.0
1722792895,1722792893,1014.5
1833718124,668916353,78.0
668916353,668899853,138.5
668899853,1833721699,165.0
1833721699,1834328349,211.5
1834328349,1834328356,224.5
1834328356,1834328357,328.5
1834328357,1834328304,428.5
1834328304,1834328382,435.5
1834328382,1833721704,445.5
1833721704,3456547523,1042.0
3456547523,1834011903,1551.0
3456547520,1834011884,210.0
1834011884,1833559010,603.0
1833559010,1833559004,681.0
1834302678,1834302651,123.5
1834302651,1834093797,129.5
1834093797,1834093787,138.5
1834093787,1834093827,727.0
1834093827,5581688888,777.0
1834315939,1834315929,113.5
1834315929,1834315871,199.5
1834315871,1834003874,209.5
1834003874,1834315813,242.0
1834315813,1834003871,278.5
1834003871,1834003868,308.0
1834003868,1834302672,314.0
1834302672,1834302708,321.0
1834302708,1834302565,431.0
1834302565,1834302693,639.5
1834302693,1834302611,819.5
1834302611,1834302638,843.0
1834302638,1834302527,865.5
1834302527,1834302568,939.0
1834302568,1834302655,1072.5
1834302655,1834011903,1074.5
1834328392,1834328374,49.5
1834328374,1833721704,122.0
1834353912,1834353906,48.5
1834353906,1834011876,88.0
1834011876,1834011893,218.5
1834011893,1833551698,272.5
1833551698,1834353914,329.5
1834353914,1834011884,375.0
4585006357,1724195927,442.5
1724195927,1724195929,444.5
1724195929,1722798397,547.5
1722798397,1722792895,549.5
1834353886,1834011893,41.0
3920665306,1833578343,80.5
1833578343,1833578371,94.5
1833578371,1833578323,540.0
1833578323,4379108110,562.0
4379108110,2402132642,687.0
2402132642,4379108115,1685.0
4379108115,1834302520,1685.0
1834302520,1833559004,1923.5
1834093836,1834093744,31.5
1834093744,1834093762,44.5
1834093762,1834093777,62.5
1834093777,1834093799,65.5
1834093799,1834093815,157.5
1834093815,1834093816,163.5
1834093816,5581688888,312.5
1834315861,1834315939,43.0
1834093831,1834093817,332.0
1834093817,1834093825,419.5
1834093825,1834093787,566.0
1834093771,1834093834,121.0
1834093834,1834093825,122.0
1833551661,1833578336,179.5
1833578336,1833551692,478.5
1833551692,4379108109,650.0
4379108109,1833551659,656.0
1833551659,1833559001,658.0
1833559001,1833558991,680.5
1833558991,1834353918,868.0
1834353918,1833558992,872.0
1833558992,1833559004,920.0
1834093793,1834093829,67.5
1834093829,1834093817,77.5
1833578346,1833578371,198.0
1834332229,1833558994,127.5
1833558994,1834332226,154.5
1834332226,1834011902,180.5
1834011902,1834332228,254.0
1834332228,3456547523,279.5
1834093820,1834093776,21.0
1834093776,1834093827,50.0
2402132771,2402972108,47.5
2402972108,2402972062,47.5
2402972062,2402132790,144.5
2402132790,2402132672,148.5
2402132672,4585055723,946.5
4585055723,2402132642,994.0
4483175451,2402132717,133.5
2402132717,2402132752,632.0
2402132752,2402132672,747.0
4379108112,4379108110,64.0
1834353882,1834353912,8.0
1834315918,1834003855,43.5
1834003855,1834315855,110.5
1834315855,1834003854,147.5
1834003854,1834003877,211.5
1834003877,1834302504,230.5
1834302504,1834302571,267.0
1834302571,1834302708,81.5
1834302498,1834302647,5.0
1834302647,1834302561,58.5
1834302561,1834302527,73.5
4585006274,1722798411,110.0
1722798411,2402972085,127.0
2402972085,4585006357,326.5
