u,v,freq
1834353874,1833551667,9
1833551667,1834353886,10
1834353886,1834011893,36
1834011893,1834353920,38
1834353920,1834353902,80
1834353915,668899893,2
668899893,1834353875,26
1834353875,1834353909,26
1834353909,1834353886,26
1834302682,1834302507,2
1834302507,1834302568,3
1834302568,1834302655,3
1834302655,1834011903,3
1834011903,3456547523,5
3456547523,1833721704,5
1833721704,1834328374,31
1834328374,1834328392,32
1834328392,1834328351,40
1834328351,1834328380,40
1834328380,1834302520,40
1834302520,1833559004,40
1833559004,1833558992,42
1833558992,1834353918,42
1834353918,1833558991,42
1833558991,1834353920,42
1833565398,4483166868,2
4483166868,1834353902,2
1834302708,1834302565,6
1834302565,1834302577,12
1834302577,1834093740,14
1834093740,1834093822,16
1834093822,1834315821,18
1834315821,1834093791,18
1834093791,1834003845,18
1834003845,668899893,24
1834093784,1834093750,1
1834093750,1834093751,1
1834093751,1834093746,1
1834093746,1834302507,1
1833559010,1833559004,2
4483175450,2402132752,1
2402132752,2402132672,10
2402132672,4585055723,14
4585055723,2402132642,14
2402132642,4379108111,14
4379108111,1833551659,14
1833551659,1833559001,20
1833559001,1834353902,22
1833437861,1833718140,6
1833718140,668916353,9
668916353,668899853,9
668899853,1833721699,9
1833721699,1834328349,10
1834328349,1834328356,10
1834328356,1834328357,10
1834328357,1834328304,12
1834328304,1834328382,26
1834328382,1833721704,26
669783157,2402132693,5
2402132693,2402132717,5
2402132717,2402132752,9
1834315872,1834315908,3
1834315908,1834315894,6
1834315894,1834315863,6
1834315863,1834003845,6
3920625726,1829343802,1
1829343802,1833708259,3
1833708259,1834093836,3
1834093836,1834093772,6
1834093772,1834093753,6
1834093753,1834328293,12
1834328293,1834328370,13
1834328370,1834328359,14
1834328359,1834328297,14
1834328297,1834328290,14
1834328290,1834328388,14
1834328388,1834328372,14
1834328372,1834328304,14
1833558998,1834353919,2
1834353919,1833559001,2
1834302623,1834302596,2
1834302596,1834302670,3
1834302670,1834302561,4
1834302561,1834302647,4
1834302647,1834302498,4
1834302498,1834302565,6
1722792895,1722792893,2
1722792893,1722792911,2
1722792911,1722792885,2
1722792885,1833407990,2
1833407990,2402972073,2
2402972073,2402972068,2
2402972068,2402972101,3
2402972101,2402132670,3
2402132670,2402132783,3
2402132783,4379108114,3
4379108114,2402132706,3
2402132706,2402132771,3
2402132771,2402972108,3
2402972108,2402972062,4
2402972062,2402132790,4
2402132790,2402132672,4
1834315913,1834315888,1
1834315888,1834315908,2
1834093818,1834093803,4
1834093803,1834093753,4
1834328347,1834328335,7
1834328335,1834328392,7
1833718131,1833437861,4
1834003868,1834093740,1
1834332227,1834302580,3
1834302580,1834332226,3
1834332226,1833558994,4
1833558994,1834332229,5
1834332229,1834353933,5
1834353933,1834353904,5
1834353904,1834353874,5
1834003864,1833558994,1
1834083176,1829343802,2
1834011876,1834011893,2
1834011895,1834011897,2
1834011897,1834328343,2
1834328343,1834328337,2
1834328337,1834328360,2
1834328360,1834328357,2
1833551697,1833551692,3
1833551692,4379108109,6
4379108109,1833551659,6
1833721708,1834328390,6
1834328390,1834328355,6
1834328355,1834328347,6
4483175451,2402132717,1
1834315902,1834315928,1
1834315928,1834315873,2
1834315873,1834315872,2
3920625708,1834083208,2
1834083208,3920625744,2
3920625744,1833718130,2
1833718130,1833718111,2
1833718111,1833718118,2
1833718118,1833718138,2
1833718138,1833718131,2
668899921,1833559000,2
1833559000,3456547520,2
3456547520,1834353874,2
1834302504,1834302672,2
1834302672,1834302577,2
1833455415,1833578336,3
1833578336,1833551692,3
1833721703,1834328376,2
1834328376,1833721698,4
1833721698,1833721708,4
2402132618,669783157,2
1833718129,1833718135,2
1833718135,1833718140,2
3920625741,4584668362,1
4584668362,4584668163,1
4584668163,1833718129,1
1833551687,1833551697,1
1834302711,1834302708,1
1724195929,1722798397,1
1722798397,668899795,1
668899795,1722794767,1
1722794767,1028052750,1
1028052750,1722798391,1
1722798391,4378664065,1
4378664065,2402972061,1
2402972061,3283755326,1
3283755326,2402960449,1
2402960449,2402960451,1
2402960451,4378346485,1
4378346485,1833455419,1
1833455419,1833455417,1
1833455417,5603446989,1
5603446989,669781711,1
669781711,1833455415,1
1834003871,1834093822,1
5421607218,1833565404,1
1833565404,1833551662,1
1833551662,1833565381,1
1833565381,1833551697,1
1834353922,1834337367,1
1834337367,1833718137,1
1833718137,1834011872,1
1834011872,1834353898,1
1834353898,1834011876,1
1830143995,4586512498,1
4586512498,4586512367,1
4586512367,1833407983,1
1833407983,1833419239,1
1833419239,2402972068,1
4586502063,4586502036,1
4586502036,1834093815,1
1834093815,1834093799,1
1834093799,1834093777,1
1834093777,1834328300,1
1834328300,1834328294,1
1834328294,1834328293,1
1834093757,1834093753,1
