u,v,freq
1834302663,1834302545,1.0
1834302545,1834302711,4.0
1834302711,1834302708,5.0
1834302708,1834302565,6.0
1834302565,1834302577,9.0
1834302577,1834093740,9.0
1834093740,1834093822,9.0
1834093822,1834315821,9.0
1834315821,1834093791,9.0
1834093791,1834003845,17.0
1834003845,668899893,22.0
668899893,1834353875,23.0
1834353875,1834353909,23.0
1834353909,1834353886,23.0
1834353886,1834011893,31.0
1834011893,1834353920,39.0
1834353920,1834353902,73.0
2402132618,669783157,1.0
669783157,2402132693,1.0
2402132693,2402132717,1.0
2402132717,2402132752,1.0
2402132752,2402132672,1.0
2402132672,4585055723,13.0
4585055723,2402132642,13.0
2402132642,4379108111,13.0
4379108111,1833551659,13.0
1833551659,1833559001,42.0
1833559001,1834353902,43.0
1834011903,3456547523,7.0
3456547523,1833721704,9.0
1833721704,1834328374,22.0
1834328374,1834328392,26.0
1834328392,1834328351,27.0
1834328351,1834328380,28.0
1834328380,1834302520,32.0
1834302520,1833559004,32.0
1833559004,1833558992,34.0
1833558992,1834353918,34.0
1834353918,1833558991,34.0
1833558991,1834353920,34.0
1834003874,1834093791,7.0
4379108117,1834328380,3.0
1834353882,1834353912,1.0
1834353912,1834353906,1.0
1834353906,1834011876,1.0
1834011876,1834011893,8.0
1834353935,1834353876,1.0
1834353876,1834353898,4.0
1834353898,1834011876,7.0
5603446995,5603446991,4.0
5603446991,1833578346,5.0
1833578346,1833578371,5.0
1833578371,1833578323,8.0
1833578323,4379108110,10.0
4379108110,4379108112,10.0
4379108112,4379108109,10.0
4379108109,1833551659,29.0
1834093815,1834093799,1.0
1834093799,1834093777,1.0
1834093777,1834328300,1.0
1834328300,1834328294,1.0
1834328294,1834328293,1.0
1834328293,1834328370,3.0
1834328370,1834328359,4.0
1834328359,1834328297,4.0
1834328297,1834328290,4.0
1834328290,1834328388,4.0
1834328388,1834328372,4.0
1834328372,1834328304,4.0
1834328304,1834328382,8.0
1834328382,1833721704,10.0
1833718135,1833718140,1.0
1833718140,668916353,1.0
668916353,668899853,2.0
668899853,1833721699,2.0
1833721699,1834328349,2.0
1834328349,1834328356,3.0
1834328356,1834328357,3.0
1834328357,1834328304,4.0
669781711,1833455415,6.0
1833455415,1833578336,9.0
1833578336,1833551692,16.0
1833551692,4379108109,19.0
1834332228,1834011902,3.0
1834011902,668899921,3.0
668899921,1833559000,3.0
1833559000,3456547520,3.0
3456547520,1834353874,3.0
1834353874,1833551667,8.0
1833551667,1834353886,8.0
4585055704,4585055573,1.0
4585055573,1833578371,1.0
1834315918,1834315871,1.0
1834315871,1834315886,1.0
1834315886,1834315863,1.0
1834315863,1834003845,5.0
1834328299,1834328351,1.0
1834315877,1834315894,2.0
1834315894,1834315863,3.0
1834353917,1834353904,3.0
1834353904,1834353874,5.0
1834302703,1834302580,1.0
1834302580,1834332226,1.0
1834332226,1833558994,2.0
1833558994,1834332229,2.0
1834332229,1834353933,2.0
1834353933,1834353904,2.0
1834337367,1833718137,3.0
1833718137,1834011872,3.0
1834011872,1834353898,3.0
1834093746,1834302507,4.0
1834302507,1834302568,5.0
1834302568,1834302655,5.0
1834302655,1834011903,5.0
1831867381,669781711,3.0
1834093834,1834093771,3.0
1834093771,1834093784,3.0
1834093784,1834093750,3.0
1834093750,1834093751,3.0
1834093751,1834093746,3.0
1833551674,1833551680,1.0
1833551680,1833551699,1.0
1833551699,1833551697,1.0
1833551697,1833551692,3.0
1834302611,1834302498,1.0
1834302498,1834302565,3.0
1722792911,1722792885,6.0
1722792885,1833407990,6.0
1833407990,2402972073,6.0
2402972073,2402972068,6.0
2402972068,2402972101,7.0
2402972101,2402132670,7.0
2402132670,2402132783,7.0
2402132783,4379108114,8.0
4379108114,2402132706,8.0
2402132706,2402132771,10.0
2402132771,2402972108,11.0
2402972108,2402972062,11.0
2402972062,2402132790,11.0
2402132790,2402132672,11.0
1722792893,1722792911,2.0
1833407983,1833419239,1.0
1833419239,2402972068,1.0
1834328353,1834328382,2.0
1834315813,1834003874,5.0
5421607218,1833565404,2.0
1833565404,1833551662,2.0
1833551662,1833565381,2.0
1833565381,1833551697,2.0
5581688888,1834093827,1.0
1834093827,1834093787,1.0
1834093787,1834093825,1.0
1834093825,1834093817,1.0
1834093817,1834093829,1.0
1834093829,1834093793,1.0
1834093793,1834302682,1.0
1834302682,1834302507,1.0
1834353884,1834353922,1.0
1834353922,1834337367,2.0
1834315855,1834315813,2.0
1834302527,1834302561,2.0
1834302561,1834302647,2.0
1834302647,1834302498,2.0
2402972098,2402972070,1.0
2402972070,4384718904,1.0
4384718904,2402972075,1.0
2402972075,2402132783,1.0
1833721711,1834011897,1.0
1834011897,1834328343,1.0
1834328343,1834328337,1.0
1834328337,1834328360,1.0
1834328360,1834328357,1.0
4586445898,1834083176,1.0
1834083176,1829343802,1.0
1829343802,1833708259,1.0
1833708259,1834093836,1.0
1834093836,1834093772,1.0
1834093772,1834093753,2.0
1834093753,1834328293,2.0
1833558998,1834353919,1.0
1834353919,1833559001,1.0
1833551661,1833578336,1.0
1834302698,1834302545,3.0
2402132622,2402132777,2.0
2402132777,2402132706,2.0
1834302590,1834302698,2.0
1834328341,1834328335,1.0
1834328335,1834328392,1.0
1834093762,1834093772,1.0
1722792895,1722792893,1.0
1834315902,1834315928,1.0
1834315928,1834315873,1.0
1834315873,1834315872,1.0
1834315872,1834315908,1.0
1834315908,1834315894,1.0
