value,tag,count
yes,building,157211
house,building,28556
http://wiki.osm.org/wiki/GSI_KIBAN,source_ref,23404
residential,highway,23065
GSI/KIBAN 2500; NARO,source,21208
footway,highway,17362
detached,building,12385
apartments,building,10394
asphalt,surface,10001
parking,amenity,9943
service,highway,9831
2,building:levels,7248
YahooJapan/ALPSMAP,source,6666
residential,building,6518
private,access,5996
3,building:levels,5878
unclassified,highway,5863
local knowledge,source,5635
surface,parking,4925
yes,oneway,4891
GSImaps/std,source,4875
crossing,footway,4513
sidewalk,footway,4260
GSImaps/ort,source:geometry,4238
Bing,source,4176
1,layer,3870
yes,building:part,3857
yes,bridge,3830
yes,wheelchair,2600
steps,highway,2464
"Bing, 2010",source,2365
GSImaps/ort,source,2105
3,building:levels,2047
driveway,service,2035
tertiary,highway,1941
path,highway,1937
marked,crossing,1935
1,building:levels,1887
-1,layer,1838
no,oneway:bicycle,1787
KSJ2,source,1771
industrial,building,1747
parking_aisle,service,1673
rail,railway,1665
"Bing,2009-11",source,1647
contact_line,electrified,1619
2,building:levels,1607
alley,service,1463
0,frequency,1408
4,building:levels,1346
no,oneway,1250
residential,landuse,1162
retail,building,1162
yes,fee,1135
house,building:part,1099
yes,lit,1069
2,lanes,1018
no,lane_markings,969
5,building:levels,911
yes,bicycle,875
designated,bicycle,871
no,cycleway:both,850
1,addr:block_number,821
8,addr:block_number,820
êºì˙ñ{ó∑ãqìSìπ,operator,773
êºì˙ñ{ó∑ãqìSìπ,operator:ja,769
no,bicycle,762
4,addr:block_number,703
5,addr:block_number,695
no,sidewalk,692
yes,access,674
3,addr:block_number,662
1,lanes,642
6,addr:block_number,611
designated,foot,591
yes,tunnel,582
7,addr:block_number,565
no,segregated,560
7,height,552
2,addr:block_number,546
3,height,474
yes,covered,472
industrial,landuse,460
no,foot,444
6,building:levels,443
3,yh:WIDTH_RANK,412
no,fee,412
yes,area,407
8,height,394
yes,toll,383
2,passenger_lines,344
apartments,residential,342
retail,landuse,339
GSImaps/std,source:geometry,338
2,layer,327
2,width,323
7,building:levels,321
yes,segregated,302
3,addr:housenumber,297
2,height,296
1,width,294
designated,motorcycle,291
designated,motorcar,290
5,height,259
yes,embankment,257
yes,tactile_paving,248
2,addr:housenumber,245
8,building:levels,240
no,tactile_paving,240
4,passenger_lines,223
no,covered,218
no,motor_vehicle,216
1,roof:levels,215
6,height,214
no,lit,214
apartments,building:part,206
yes,oneway:bicycle,204
yes,handrail,203
no,access,201
yes,foot,198
3,lanes,197
no,wheelchair,196
yes,intermittent,189
4,lanes,186
4,height,167
rail,electrified,159
no,park_ride,153
yes,crossing:markings,151
1,addr:housenumber,150
no,horse,147
5,addr:housenumber,145
3,addr:housenumber,141
7,addr:housenumber,137
parking,building,137
8,addr:housenumber,133
3,width,124
2,addr:housenumber,118
yes,indoor,118
4,addr:housenumber,117
2,ref,116
3,addr:block_number,116
2,addr:block_number,115
yes,ramp:bicycle,114
6,addr:housenumber,113
yes,stroller,105
no,maxweight:signed,98
yes,takeaway,96
yes,removed:building,87
1,level,84
yes,bench,83
3,capacity,79
0,roof:levels,77
yes,room,74
0,level,72
4,capacity,72
5,capacity,68
service,building,67
7,admin_level,66
no,supervised,61
yes,highspeed,57
yes,payment:cash,57
yes,unisex,55
no,handrail,52
2,capacity,50
no,drive_through,48
yes,train,48
yes,dispensing,47
1,height,46
2,addr:neighbourhood,46
industrial,building:part,46
no,ramp,46
2,ref,44
no,intermittent,44
3,layer,43
4,width,42
yes,shelter,42
residential,construction,39
apartments,construction,38
yes,toilets:wheelchair,38
6,capacity,37
yes,atm,37
yes,noname,37
7,capacity,36
1,building:min_level,35
2,circuits,34
6,cables,34
no,motorcar,33
3,addr:neighbourhood,32
3,level,32
retail,building:part,31
rail,construction,30
2,level,29
private,motor_vehicle,29
1,building:levels:underground,28
yes,supervised,28
no,crossing:island,27
no,goods,27
yes,emergency,27
8,capacity,26
4,layer,25
no,hgv,25
private,operator:type,25
yes,taxi,25
2,addr:neighbourhood,23
8,admin_level,23
asphalt,cycleway:surface,23
asphalt,footway:surface,23
no,agricultural,23
yes,demolished:building,23
yes,payment:credit_cards,23
no,smoking,22
yes,bin,22
yes,conveying,22
yes,cutting,22
no,motorcycle,21
no,vehicle,21
retail,abutters,21
yes,psv,21
5,width,20
no,cycleway:left,20
no,hov,20
no,outdoor_seating,20
no,tourist_bus,20
yes,changing_table,20
yes,toilets,20
no,bin,19
yes,ramp,19
no,changing_table,18
no,cycleway:both:segregated,18
no,delivery,18
yes,disused,18
yes,female,18
yes,assembly_point:tsunami,17
yes,payment:debit_cards,17
no,button_operated,16
no,toll,16
